Gall_sp,Status,Parasitoid,Total_number,Per_country
Chilaspis nitida,bisexual,Mesopolobus fuscipes,56,HU 56
Chilaspis nitida,bisexual,Mesopolobus mediterraneus,1,HU 1
Chilaspis nitida,bisexual,Mesopolobus sericeus,6,HU 6
Chilaspis nitida,bisexual,Mesopolobus tibialis,437,"AT,HU 437"
Chilaspis nitida,bisexual,Mesopolobus xanthocerus,277,"AT 1,HU 276"
Chilaspis nitida,bisexual,Eupelmus spongipartus,4,HU 4
Chilaspis nitida,bisexual,Eupelmus urozonus,8,"AT,HU 8"
Chilaspis nitida,bisexual,Aulogymnus gallarum,443,HU 443
Chilaspis nitida,bisexual,Aulogymnus obscuripes,15,HU 15
Chilaspis nitida,bisexual,Aulogymnus ?skianeuros,4,HU 4
Chilaspis nitida,bisexual,Aulogymnus testaceoviridis,2,HU 2
Chilaspis nitida,bisexual,Aprostocetus aethiops,2,HU 2
Chilaspis nitida,bisexual,Aprostocetus cerricola,6,HU 6
Chilaspis nitida,bisexual,Baryscapus berhidanus,2,HU 2
Chilaspis nitida,bisexual,Baryscapus ?pallidae,2,HU 2
Chilaspis nitida,bisexual,Chilaspis nitida,,NA
Chilaspis nitida,bisexual,Ceroptres cerri,1,HU 1
Chilaspis nitida,bisexual,Saphonecrus haimi,63,"AT,HU 63"
Chilaspis nitida,bisexual,Synergus facialis,82,HU 82
Chilaspis nitida,bisexual,Synergus flavipes,2,HU 2
Chilaspis nitida,bisexual,Synergus thaumacerus,32,HU 32
Chilaspis nitida,bisexual,Synergus variabilis,,AT
Chilaspis nitida,bisexual,Eurytoma brunniventris,59,HU 59
Chilaspis nitida,bisexual,Sycophila biguttata,74,"AT 65,HU 9"
Chilaspis nitida,bisexual,Megastigmus dorsalis,1,HU 1
Chilaspis nitida,bisexual,Torymus affinis,8,HU 8
Chilaspis nitida,bisexual,Torymus auratus,8,HU 8
Chilaspis nitida,bisexual,Torymus flavipes,1,HU 1
Chilaspis nitida,bisexual,Torymus geranii,27,HU 27
Chilaspis nitida,bisexual,Ormyrus pomaceus,3,HU 3
Chilaspis nitida,bisexual,Ormyrus sp.,14,HU 14
Chilaspis nitida,bisexual,Cecidostiba fungosa,26,"BG 2,HU 24"
Chilaspis nitida,bisexual,Hobbya stenonota,3,HU 3
Chilaspis nitida,bisexual,Mesopolobus dubius,2,HU 2
Chilaspis nitida,bisexual,Mesopolobus fasciiventris,6,"AT 1,HU 5"
Chilaspis nitida,bisexual,Mesopolobus tibialis,13,HU 13
Chilaspis nitida,bisexual,(Pteromalus semotus),12,HU 12
Chilaspis nitida,bisexual,Eupelmus urozonus,6,HU 6
Chilaspis nitida,bisexual,Eupelmus vesicularis,1,HU 1
Chilaspis nitida,bisexual,Aprostocetus aethiops,10,HU 10
Chilaspis nitida,bisexual,Baryscapus berhidanus,3,HU 3
Chilaspis nitida,bisexual,Baryscapus ?pallidae,12,HU 12
Chilaspis nitida,bisexual,Pediobius chilaspidis,144,"AT,CZ,HU 144"
Chilaspis nitida,bisexual,Pediobius rotundatus,2,ES 2
Cynips agama,asexual,Synergus facialis,1,HU 1
Cynips agama,asexual,Synergus pallicornis,,"AT,FR,PL,UA"
Cynips agama,asexual,Synergus pallipes,3,"AT,DE,FR,HU 3,PL,UA"
Cynips agama,asexual,Synergus umbraculus,3,HU 3
Cynips agama,asexual,Eurytoma brunniventris,31,"AT,BG 2,FR 14,HU 10,PL,UA 5"
Cynips agama,asexual,Eurytoma setigera,2,HU 2
Cynips agama,asexual,Sycophila biguttata,18,"AT 9,DE,HU 9,PL"
Cynips agama,asexual,Torymus auratus,1,FR 1
Cynips agama,asexual,Torymus cyaneus,49,"AT,BG 3,FR 30,HU 14,UA 2"
Cynips agama,asexual,Torymus geranii,,PL
Cynips agama,asexual,Ormyrus pomaceus,12,"AT 1,DE 1,HU 6,PL,UA 4"
Cynips agama,asexual,Mesopolobus fasciiventris,4,"DE,FR 2,HU 1,PL,RO,UA 1"
Cynips agama,asexual,Eupelmus spongipartus,2,HU 2
Cynips agama,asexual,Eupelmus urozonus,5,"AT,DE,FR 1,HU 4"
Cynips agama,asexual,Eupelmus vesicularis,3,UA 3
Cynips cornifex,bisexual,Synergus facialis,,IT
Cynips cornifex,bisexual,(Miscogaster rufipes),,IT
Cynips cornifex,bisexual,Caenacis lauta,,IT
Cynips cornifex,bisexual,Mesopolobus amaenus,,IT
Cynips cornifex,asexual,Ceroptres clavicornis,1,HU 1
Cynips cornifex,asexual,Synergus facialis,,IT
Cynips cornifex,asexual,Synergus pallicornis,1,"AT,HU 1"
Cynips cornifex,asexual,Eurytoma brunniventris,70,"AT,FR 34,HU 36,IT"
Cynips cornifex,asexual,Eurytoma setigera,1,HU 1
Cynips cornifex,asexual,Sycophila biguttata,48,"AT 42,HU 6"
Cynips cornifex,asexual,Sycophila variegata,1,AT 1
Cynips cornifex,asexual,Torymus cyaneus,2,HU 2
Cynips cornifex,asexual,Ormyrus nitidulus,1,"GR 1,IT"
Cynips cornifex,asexual,Ormyrus pomaceus,50,"AT 22,FR 18,HU 10"
Cynips cornifex,asexual,Caenacis lauta,2,"AT,HU 2"
Cynips cornifex,asexual,Cecidostiba fungosa,1,HU 1
Cynips cornifex,asexual,Cecidostiba ?semifascia,2,GR 2
Cynips cornifex,asexual,Eupelmus spongipartus,,AT
Cynips cornifex,asexual,Eupelmus urozonus,3,"AT,HU 3"
Cynips cornifex,asexual,Aprostocetus aethiops,2,HU 2
Cynips cornifex,asexual,Baryscapus ?pallidae,1,HU 1
Cynips disticha,bisexual,Torymus flavipes,14,HU 14
Cynips disticha,bisexual,Mesopolobus fasciiventris,4,HU 4
Cynips disticha,bisexual,Mesopolobus fuscipes,4,HU 4
Cynips disticha,bisexual,Mesopolobus mediterraneus,1,ES 1
Cynips disticha,bisexual,Mesopolobus tibialis,8,"AD,HU 8"
Cynips disticha,bisexual,Aulogymnus obscuripes,4,HU 4
Cynips disticha,bisexual,Cynips disticha,,NA
Cynips disticha,bisexual,Synergus apicalis,,PL
Cynips disticha,bisexual,Synergus facialis,1,"AD,AT,DE,HU 1"
Cynips disticha,bisexual,petraea*,,NA
Cynips disticha,bisexual,Synergus pallicornis,7,"AT,DE,ES 5,GB 2,FR,HU,NL,PL,UA"
Cynips disticha,bisexual,Diakontschuk & Melika 1994),,NA
Cynips disticha,bisexual,Synergus pallipes,7,"AD 4,AT,DE,ES 2,FR,GB,HU 1"
Cynips disticha,bisexual,(Wiebes-Rijks 1979),,UA
Cynips disticha,bisexual,Synergus radiatus,,"ES,GB,UA"
Cynips disticha,bisexual,Synergus thaumacerus,,PL
Cynips disticha,bisexual,Eurytoma adleriae,3,"ES 2,FR 1"
Cynips disticha,bisexual,Eurytoma brunniventris,86,"AD 2,AT,BG 1,DE 2,ES 28,FR 43,GB 4,HR 1,HU 5,PL"
Cynips disticha,bisexual,Eurytoma setigera,4,"AT 1,ES 2,HU 1,RO"
Cynips disticha,bisexual,Sycophila biguttata,22,"AT 8,ES 4,FR 8,HU 2,PL"
Cynips disticha,bisexual,Megastigmus dorsalis,1,ES 1
Cynips disticha,bisexual,Torymus auratus,39,"AD 10,AT,DE,ES 5,FR 8,GB 4,HU 12,PL"
Cynips disticha,bisexual,Torymus cyaneus,6,"AT,BG 2,DE,FR,HU 4"
Cynips disticha,bisexual,Torymus flavipes,3,"AD 3,PL"
Cynips disticha,bisexual,Torymus geranii,10,"AD 2,FR 4,GB 1,HU 3,PL"
Cynips disticha,bisexual,Ormyrus nitidulus,3,"DE,FR 2,HU 1"
Cynips disticha,bisexual,Ormyrus pomaceus,49,"AD 9,AT 16,DE,ES 11,FR 3,HU 8,PL,UA 2"
Cynips disticha,bisexual,Ormyrus nitidulus or O. pomaceus,21,"FR 1,HU 20"
Cynips disticha,bisexual,Caenacis lauta,3,"HU 1,UA 2"
Cynips disticha,bisexual,Cecidostiba fungosa,3,"ES 2,HU 1"
Cynips disticha,bisexual,Cyrtoptyx robustus,28,"AD 1,ES 27"
Cynips disticha,bisexual,Mesopolobus fasciiventris,14,"AD 5,AT,FR 1,HU 1,PL,UA 7"
Cynips disticha,bisexual,Mesopolobus sericeus,2,GB 2
Cynips disticha,bisexual,Mesopolobus tibialis,,AD
Cynips disticha,bisexual,Eupelmus urozonus,19,"AD 2,AT,ES 7,HU 7,UA 3"
Cynips disticha,bisexual,Eupelmus vesicularis,3,"ES 2,UA 1"
Cynips disticha,bisexual,Aulogymnus arsames,1,SI 1
Cynips disticha,bisexual,Aulogymnus ?gallarum,,PL
Cynips disticha,bisexual,Aulogymnus sp.,2,HU 2
Cynips disticha,bisexual,Aprostocetus aethiops,1,UA 1
Cynips divisa,bisexual,Synergus pallipes,,ES
Cynips divisa,bisexual,Ormocerus vernalis,3,ES 3
Cynips divisa,bisexual,Mesopolobus mediterraneus,4,ES 4
Cynips divisa,bisexual,Mesopolobus tibialis,19,"ES 17,HU 2"
Cynips divisa,bisexual,Eupelmus urozonus,2,"ES 1,HU 1"
Cynips divisa,bisexual,Eupelmus vesicularis,1,ES 1
Cynips divisa,bisexual,Aulogymnus skianeuros,4,HU 4
Cynips divisa,bisexual,Cynips divisa,,NA
Cynips divisa,bisexual,Ceroptres clavicornis,,RU
Cynips divisa,bisexual,Synergus facialis,,"DK,ES,HU,NL,UA"
Cynips divisa,bisexual,Synergus incrassatus,2,ES 2
Cynips divisa,bisexual,Synergus pallicornis,425,"AT,DE 3,ES 175"
Cynips divisa,bisexual,pyrenaica,,"FR,GB 247,HU,NL,PL,UA"
Cynips divisa,bisexual,Synergus pallipes,15,"AD,AT,DE,ES 14,FR,GB 1,UA"
Cynips divisa,bisexual,Synergus radiatus,64,"AT,DK,ES 4,GB 60,NL,UA"
Cynips divisa,bisexual,Synergus umbraculus,2,"ES 2,HU,UA"
Cynips divisa,bisexual,Eurytoma brunniventris,815,"AT 2,BE 20,BG 1,DE 3,ES 457,FR 6,GB 301,HR 10,HU 2,NL 7,RO,TR 3,UA 3"
Cynips divisa,bisexual,Eurytoma setigera,,AT
Cynips divisa,bisexual,Sycophila biguttata,227,"AT 150,BE 1,DE 1,ES 51,GB(5 Q,HU 19"
Cynips divisa,bisexual,Torymus auratus,45,"AT,DE,ES 17,FR 1,GB 25,HU 1,RO,UA 1"
Cynips divisa,bisexual,Torymus cyaneus,151,"AT,DE 17,ES 30,FR,GB 63,HR 3,HU 25,NL 4,RO,RU 5,TR 4"
Cynips divisa,bisexual,Torymus flavipes,,GB
Cynips divisa,bisexual,Torymus geranii,113,"AT,BE 1,DE,GB 108,HU 1,RO,UA 3"
Cynips divisa,bisexual,Ormyrus nitidulus,12,AT 12
Cynips divisa,bisexual,Ormyrus pomaceus,43,"AT 1,DE,ES 41,HU 1"
Cynips divisa,bisexual,Caenacis lauta,27,"AT 4,DE 2,ES 11,GB 10,PL"
Cynips divisa,bisexual,Cecidostiba fungosa,47,"DE,ES 46,NL 1"
Cynips divisa,bisexual,Cyrtoptyx robustus,8,"ES 5,TR 3"
Cynips divisa,bisexual,Hobbya stenonota,2,HU 2
Cynips divisa,bisexual,Mesopolobus amaenus,2,"GB 1,HU 1"
Cynips divisa,bisexual,Mesopolobus dubius,1,GB 1
Cynips divisa,bisexual,Mesopolobus fasciiventris,179,"BE 1,ES 12,FR,GB 163,NL 2,UA 1"
Cynips divisa,bisexual,Mesopolobus sericeus,70,"ES 4,GB 66"
Cynips divisa,bisexual,Mesopolobus tibialis,1,ES 1
Cynips divisa,bisexual,Eupelmus spongipartus,5,ES 5
Cynips divisa,bisexual,Eupelmus urozonus,87,"AT,ES 45,GB 37,HU 3,TR 1,UA 1"
Cynips divisa,bisexual,Eupelmus vesicularis,27,ES 27
Cynips divisa,bisexual,Aprostocetus aethiops,11,"ES 2,GB 8,UA 1"
Cynips divisa,bisexual,(Pediobius bruchicida),1,TR 1
Cynips longiventris,bisexual,Synergus facialis,1,GB 1
Cynips longiventris,bisexual,Mesopolobus fuscipes,1,GB 1
Cynips longiventris,bisexual,Mesopolobus tibialis,2,HU 2
Cynips longiventris,bisexual,Cynips longiventris,,NA
Cynips longiventris,bisexual,Synergus apicalis,,PL
Cynips longiventris,bisexual,Synergus facialis,,"HU,NL,UA"
Cynips longiventris,bisexual,Synergus pallicornis,78,"AT,DE,DK,FR 10,GB 68,NL,PL,UA"
Cynips longiventris,bisexual,Synergus pallipes,,"NL,UA"
Cynips longiventris,bisexual,Synergus radiatus,3,"GB 3,NL,SE öl,UA"
Cynips longiventris,bisexual,Eurytoma adleriae,1,BG 1
Cynips longiventris,bisexual,Eurytoma brunniventris,40,"AT 2,BG 1,DE,FI 10,GB 16,HR 1,HU 5,IE 2,RO,UA 3"
Cynips longiventris,bisexual,Sycophila biguttata,30,"AT 6,BE,CZ 4,ES 1,GB 1,HU 18,PL,RO,SE öl"
Cynips longiventris,bisexual,Sycophila flavicollis,2,"BG 1,FI 1"
Cynips longiventris,bisexual,Megastigmus dorsalis,1,FR 1
Cynips longiventris,bisexual,Megastigmus stigmatizans,1,HU 1
Cynips longiventris,bisexual,Torymus auratus,40,"AT,BG 2,DE 1,FR 3,GB 13,HU 14,SE öl,UA 7"
Cynips longiventris,bisexual,Torymus cyaneus,131,"AT,BG 4,DE 4,ES 1,FI 9,FR 5,GB 29,HR 3,HU 29,IE 2"
Cynips longiventris,bisexual,(Zavada 2003),,"RO,RU 32,SE öl,UA 12"
Cynips longiventris,bisexual,Torymus ?erucarum,1,HU 1
Cynips longiventris,bisexual,Torymus flavipes,1,"GB,HU 1"
Cynips longiventris,bisexual,Torymus geranii,29,"DE 1,FI 5,GB 12,HU 9,PL,RO,UA 2"
Cynips longiventris,bisexual,Ormyrus nitidulus,4,"AT 1,BG 1,CZ 1,HU 1"
Cynips longiventris,bisexual,Ormyrus pomaceus,31,"BG 1,DE,FI 8,FR 1,HU 21,RO"
Cynips longiventris,bisexual,Cecidostiba fungosa,3,"FR 2,HU 1"
Cynips longiventris,bisexual,Mesopolobus amaenus,2,FI 2
Cynips longiventris,bisexual,Mesopolobus fasciiventris,46,"FI 24,GB 22,HU,PL,RO,SE öl"
Cynips longiventris,bisexual,Mesopolobus sericeus,8,"DE 1,GB 7"
Cynips longiventris,bisexual,Pteromalus sp. A,7,FI 7
Cynips longiventris,bisexual,(Pteromalus sp. B),1,FI 1
Cynips longiventris,bisexual,Eupelmus urozonus,5,"DE 2,GB 1,HR 1,HU 1"
Cynips longiventris,bisexual,Aprostocetus aethiops,1,GB 1
Cynips longiventris,bisexual,Baryscapus ?pallidae,1,FI 1
Cynips quercus,asexual,Ceroptres cerri,1,HU 1
Cynips quercus,asexual,Synergus facialis,8,"GR 1,HU 7"
Cynips quercus,asexual,Synergus hayneanus,3,HU 3
Cynips quercus,asexual,Synergus pallicornis,28,ES 13
Cynips quercus,asexual,"Pujade-Villar 1992d, 2003; Nieves-Aldrey 2001b)",,"HU 15,UA"
Cynips quercus,asexual,Synergus pallipes,36,"ES 2,GR 2,HU 32,UA"
Cynips quercus,asexual,Synergus physocerus,4,HU 4
Cynips quercus,asexual,Synergus radiatus,4,"ES 2,HU 2,UA"
Cynips quercus,asexual,Synergus thaumacerus,,"HU,IT 2"
Cynips quercus,asexual,Synergus umbraculus,1,HU 1
Cynips quercus,asexual,Sycophila biguttata,135,"AT 97,BG 5,ES 5,GR 9,HU 18,RO,TR 1"
Cynips quercus,asexual,Sycophila flavicollis,1,BG 1
Cynips quercus,asexual,Sycophila variegata,1,AT 1
Cynips quercus,asexual,Eurytoma adleriae,17,"ES 2,GR 1,HU 8,TR 6"
Cynips quercus,asexual,Eurytoma brunniventris,113,"AD 13,BG 14,ES 21,GR 2,HU 60,RO,TR 3"
Cynips quercus,asexual,Eurytoma setigera,2,"HU 2,RO"
Cynips quercus,asexual,Megastigmus dorsalis,1,HU 1
Cynips quercus,asexual,Torymus auratus,93,"BG 16,ES 26,GR 11,HU 10,MA 4,RO,TR 3,UA 23"
Cynips quercus,asexual,Torymus cyaneus,570,"BG 148,ES 73,GR 59,HU 289,RO,TR 1"
Cynips quercus,asexual,Torymus geranii,18,"AD 3,HU 13,RO,UA 2"
Cynips quercus,asexual,Ormyrus nitidulus,34,"AT 19,BG 5,GR 7,HU 1,RO,TR 2"
Cynips quercus,asexual,Ormyrus pomaceus,65,"AT 32,BG 2,ES 16,GR 10,HU 3,TR 1,UA 1"
Cynips quercus,asexual,Ormyrus nitidulus or O. pomaceus,19,"GR 7,HU 11,TR 1"
Cynips quercus,asexual,Caenacis lauta,7,"AT,HU 7,RO"
Cynips quercus,asexual,Cecidostiba fungosa,5,"ES 1,HU 4"
Cynips quercus,asexual,Cyrtoptyx robustus,3,ES 3
Cynips quercus,asexual,Hobbya stenonota,1,"AT,BG 1"
Cynips quercus,asexual,Mesopolobus fasciiventris,5,"AT,ES 4,UA 1"
Cynips quercus,asexual,Mesopolobus sericeus,1,ES 1
Cynips quercus,asexual,Mesopolobus tibialis,1,HU 1
Cynips quercus,asexual,Eupelmus spongipartus,7,"ES 3,HU 4"
Cynips quercus,asexual,Eupelmus urozonus,10,"BG 1,ES 6,HU 3,RO"
Cynips quercus,asexual,Eupelmus vesicularis,1,HU 1
Cynips quercus,asexual,Aulogymnus ?arsames,1,ES 1
Cynips quercus,asexual,Aulogymnus trilineatus,3,"HR 1,HU 2"
Cynips quercus,asexual,Aprostocetus aethiops,2,"ES 1,HU 1"
Cynips quercus,asexual,(Aprostocetus sp.),1,ES 1
Cynips quercus,asexual,Baryscapus ?pallidae,1,HU 1
Cynips quercusfolii,bisexual,Ceroptres clavicornis,,AT
Cynips quercusfolii,bisexual,Synergus facialis,10,"ES 8,GB 2,NL"
Cynips quercusfolii,bisexual,Sycophila biguttata,10,AT 10
Cynips quercusfolii,bisexual,Torymus flavipes,,NL
Cynips quercusfolii,bisexual,Torymus geranii,,NL
Cynips quercusfolii,bisexual,Caenacis lauta,1,AT 1
Cynips quercusfolii,bisexual,Mesopolobus amaenus,1,HU 1
Cynips quercusfolii,bisexual,Mesopolobus dubius,1,"HU 1,NL"
Cynips quercusfolii,bisexual,Mesopolobus fuscipes,1,"AT,GB 1,NL Wieb"
Cynips quercusfolii,bisexual,Mesopolobus tibialis,3,"AT,HU 3,NL"
Cynips quercusfolii,bisexual,Cynips quercusfolii,,NA
Cynips quercusfolii,bisexual,Ceroptres clavicornis,1,"AT,HU 1"
Cynips quercusfolii,bisexual,Saphonecrus connatus,,AT
Cynips quercusfolii,bisexual,Saphonecrus haimi,3,HU 3
Cynips quercusfolii,bisexual,Synergus apicalis,,PL
Cynips quercusfolii,bisexual,Synergus facialis,35,"AT,DE,ES 1,GB 1,HU 33,NL,PL,SE öl,UA"
Cynips quercusfolii,bisexual,Synergus pallicornis,722,"AT,DE,DK,ES 34,FR 2,GB 656,GR 1,HU 21,NL,PL,TR 8,UA"
Cynips quercusfolii,bisexual,Synergus pallipes,211,"AT,DE,DK,FR,GB 13,HU 198,NL,PL,UA"
Cynips quercusfolii,bisexual,Synergus radiatus,5,"AD,AT,DE,DK,GB 3,HU 2,NL,PL,UA"
Cynips quercusfolii,bisexual,Synergus ruficornis,,PL
Cynips quercusfolii,bisexual,Synergus thaumacerus,,"AT,PL"
Cynips quercusfolii,bisexual,Synergus tibialis,1,HU 1
Cynips quercusfolii,bisexual,Synergus umbraculus,3,HU 3
Cynips quercusfolii,bisexual,Eurytoma adleriae,1,HU 1
Cynips quercusfolii,bisexual,Eurytoma brunniventris,213,"AD,AT 4,BG 20,ES 2,FR 1,GB 98,HU 80,IE 6,NL,PL"
Cynips quercusfolii,bisexual,1882),1882,"RO,TR 1,UA 1"
Cynips quercusfolii,bisexual,Eurytoma setigera,1,"AT 1,RO"
Cynips quercusfolii,bisexual,Sycophila biguttata,67,"AT 24,DE 1,FR 1,GB 17,GR 1,HU 23,NL,PL,RO"
Cynips quercusfolii,bisexual,Sycophila variegata,1,HU 1
Cynips quercusfolii,bisexual,Megastigmus dorsalis,5,"GB 1,HU(4 Q,RO"
Cynips quercusfolii,bisexual,Megastigmus stigmatizans,2,HU 2
Cynips quercusfolii,bisexual,Torymus auratus,804,"AD 1,AT,BG 49,DE 10,ES 27,FR 15,GB 258"
Cynips quercusfolii,bisexual,1954; Manning 1956; Askew 1965),,"GR 12,HU 253,NL,PL,RO,TR 46,UA 133"
Cynips quercusfolii,bisexual,Torymus cyaneus,110,"AT,BG 5,GB 71,GR 5,HR,HU 22,NL,RO,TR 2"
Cynips quercusfolii,bisexual,infectoria*,,UA 5
Cynips quercusfolii,bisexual,Torymus erucarum,10,HU 10
Cynips quercusfolii,bisexual,Torymus flavipes,6,"DE,FR,HU 6,RO,SE öl"
Cynips quercusfolii,bisexual,Torymus geranii,14,"AD,AT,BE,DE 2,FR,GB 2,HU 10,NL,PL,RO,SE öl"
Cynips quercusfolii,bisexual,Torymus macrurus,14,"MD 2,RO 5,UA 7"
Cynips quercusfolii,bisexual,Ormyrus nitidulus,19,"AT 3,BG 3,HU 10,RO,TR 3"
Cynips quercusfolii,bisexual,Ormyrus pomaceus,30,"AT 2,BG 14,DE 1,GR 3,HU 10,RO"
Cynips quercusfolii,bisexual,Ormyrus nitidulus or O pomaceus,15,"HU 14,TR 1"
Cynips quercusfolii,bisexual,Caenacis lauta,,RO
Cynips quercusfolii,bisexual,Cecidostiba fungosa,9,HU 9
Cynips quercusfolii,bisexual,Mesopolobus amaenus,1,HR 1
Cynips quercusfolii,bisexual,Mesopolobus fasciiventris,11,"AT 2,FR,GB 9"
Cynips quercusfolii,bisexual,(Brischke 1882),,RO
Cynips quercusfolii,bisexual,Mesopolobus sericeus,14,GB 14
Cynips quercusfolii,bisexual,Mesopolobus ?tibialis,,AT
Cynips quercusfolii,bisexual,Eupelmus spongipartus,2,"BG 1,HU 1"
Cynips quercusfolii,bisexual,Eupelmus urozonus,9,"AT,BG 8,HU 1"
Cynips quercusfolii,bisexual,(Andriescu 1974),,NA
Cynips quercusfolii,bisexual,Eupelmus vesicularis,,AT
Cynips quercusfolii,bisexual,Aulogymnus gallarum,3,HU 3
Cynips quercusfolii,bisexual,Aulogymnus trilineatus,16,"BG 4,GR 1,HU 11"
Cynips quercusfolii,bisexual,(Andriescu 1974),,NA
Cynips quercusfolii,bisexual,Aprostocetus aethiops,1,GB 1
Cynips quercusfolii,bisexual,Baryscapus ?pallidae,2,HU 2
Dryocosmus cerriphilus,bisexual,Ceroptres cerri,5,FR 5
Dryocosmus cerriphilus,bisexual,Saphonecrus undulatus,4,JO 4
Dryocosmus cerriphilus,bisexual,Synergus thaumacerus,,AT
Dryocosmus cerriphilus,bisexual,Synergus variabilis,6,"AT,JO 6"
Dryocosmus cerriphilus,bisexual,Eurytoma brunniventris,4,"AT? 2,HU 2"
Dryocosmus cerriphilus,bisexual,Megastigmus dorsalis,3,JO 3
Dryocosmus cerriphilus,bisexual,Torymus auratus,,AT
Dryocosmus cerriphilus,bisexual,Torymus geranii,3,JO 3
Dryocosmus cerriphilus,bisexual,Torymus ?longicalcar,,AT
Dryocosmus cerriphilus,bisexual,Eupelmus spongipartus,,AT
Dryocosmus cerriphilus,bisexual,Dryocosmus cerriphilus,,NA
Dryocosmus cerriphilus,bisexual,Synergus thaumacerus,,AT
Dryocosmus cerriphilus,bisexual,Synergus variabilis,,AT
Dryocosmus cerriphilus,bisexual,Eurytoma brunniventris,7,"AT 5,HU 2"
Dryocosmus cerriphilus,bisexual,Eurytoma setigera,1,"HU 1,RO"
Dryocosmus cerriphilus,bisexual,Sycophila biguttata,1,AT 1
Dryocosmus cerriphilus,bisexual,Ormyrus pomaceus,7,"AT 7,RO"
Dryocosmus cerriphilus,bisexual,Cecidostiba fungosa,,AT
Dryocosmus cerriphilus,bisexual,Hobbya stenonota,,"AT,RO"
Dryocosmus cerriphilus,bisexual,Eupelmus spongipartus,,RO
Dryocosmus cerriphilus,bisexual,Eupelmus urozonus,,"AT,RO"
Dryocosmus cerriphilus,bisexual,Aulogymnus trilineatus,6,HU 6
Dryocosmus cerriphilus,bisexual,[Dryocosmus kuriphilus,,NA
Dryocosmus cerriphilus,bisexual,Eurytoma adleriae,3,IT 3
Dryocosmus cerriphilus,bisexual,Eurytoma brunniventris,78,IT 78
Dryocosmus cerriphilus,bisexual,Eurytoma setigera,3033,IT 303
Dryocosmus cerriphilus,bisexual,Sycophila biguttata,51,IT 51
Dryocosmus cerriphilus,bisexual,Sycophila iracemae,120,IT 120
Dryocosmus cerriphilus,bisexual,Sycophila variegata,115,IT 115
Dryocosmus cerriphilus,bisexual,Megastigmus dorsalis,3374,IT 337
Dryocosmus cerriphilus,bisexual,Torymus auratus,1,IT 1
Dryocosmus cerriphilus,bisexual,Torymus flavipes,44,IT 44
Dryocosmus cerriphilus,bisexual,Torymus scutellaris,1,IT 1
Dryocosmus cerriphilus,bisexual,Torymus sinensis,24,IT 24
Dryocosmus cerriphilus,bisexual,Ormyrus nitidulus,1,IT 1
Dryocosmus cerriphilus,bisexual,Ormyrus pomaceus,7,IT 5
Dryocosmus cerriphilus,bisexual,Cecidostiba sp.,2,IT 2
Dryocosmus cerriphilus,bisexual,Mesopolobus amaenus,3,IT 3
Dryocosmus cerriphilus,bisexual,Mesopolobus mediterraneus,5,IT 5
Dryocosmus cerriphilus,bisexual,Mesopolobus sericeus,209,IT 209
Dryocosmus cerriphilus,bisexual,Mesopolobus tarsatus,3,IT 3
Dryocosmus cerriphilus,bisexual,Mesopolobus tibialis,4,IT 4
Dryocosmus cerriphilus,bisexual,Eupelmus annulatus,1425,IT 142
Dryocosmus cerriphilus,bisexual,Eupelmus fulvipes,1,IT 1
Dryocosmus cerriphilus,bisexual,Eupelmus splendens,2,IT 2
Dryocosmus cerriphilus,bisexual,Eupelmus spongipartus,1,IT 1
Dryocosmus cerriphilus,bisexual,Eupelmus urozonus,241,IT 241
Dryocosmus cerriphilus,bisexual,Reikosiella rostrata,,NA
Dryocosmus cerriphilus,bisexual,Aulogymnus arsames,1,IT 1
Dryocosmus cerriphilus,bisexual,Aulogymnus sp.,94,IT 94
Dryocosmus cerriphilus,bisexual,(Pnigalio sp. nr nemati),9,IT 9
Dryocosmus cerriphilus,bisexual,Aprostocetus sp.,92,IT 92
Dryocosmus cerriphilus,bisexual,Baryscapus ?pallidae,,IT
Dryocosmus cerriphilus,bisexual,Baryscapus sp.,1,IT 1
Dryocosmus cerriphilus,bisexual,Pediobius chilaspidis,1,IT 1
Dryocosmus cerriphilus,bisexual,Pediobius saulius,2,IT 2
Dryocosmus cerriphilus,bisexual,Pediobius sp.,3,IT 3
Dryocosmus mayri,bisexual,Saphonecrus undulatus,21,JO 21
Dryocosmus mayri,bisexual,Synergus pallipes,18,NA
Dryocosmus mayri,bisexual,Eurytoma brunniventris,3,NA
Dryocosmus mayri,bisexual,Sycophila variegata,7,JO 4
Dryocosmus mayri,bisexual,Megastigmus dorsalis,6,NA
Dryocosmus mayri,bisexual,Cecidostiba fungosa,35,JO 13
Dryocosmus mayri,bisexual,Mesopolobus amaenus,19,NA
Dryocosmus mayri,bisexual,Aulogymnus testaceoviridis,48,JO 48
Neuroterus albipes,bisexual,Synergus apicalis,,DE
Neuroterus albipes,bisexual,Synergus pallipes,3,GB 3
Neuroterus albipes,bisexual,Eurytoma brunniventris,2,"FR 1,GB 1"
Neuroterus albipes,bisexual,Torymus flavipes,4,GB 4
Neuroterus albipes,bisexual,Ormocerus latus,26,"GB 25,UA 1"
Neuroterus albipes,bisexual,Ormocerus vernalis,13,"GB 12,UA 1"
Neuroterus albipes,bisexual,Mesopolobus dubius,5,IT
Neuroterus albipes,bisexual,Mesopolobus fasciiventris,5,GB 5
Neuroterus albipes,bisexual,Mesopolobus fuscipes,45,GB 45
