Per_country,Country,Gall_sp,Status,Parasitoid,Number
FR,France,Andricus alniensis,bisexual,Synergus facialis,
FR,France,Andricus alniensis,bisexual,Synergus thaumacerus,
FR,France,Andricus alniensis,bisexual,Ormyrus pomaceus,
FR,France,Andricus alniensis,bisexual,Mesopolobus tibialis,
AT,Austria,Andricus amblycerus,asexual,Ceroptres clavicornis,2
HU,Hungary,Andricus amblycerus,asexual,Ceroptres clavicornis,5
PL,Poland,Andricus amblycerus,asexual,Ceroptres clavicornis,
AT,Austria,Andricus amblycerus,asexual,Synergus apicalis,
HU,Hungary,Andricus amblycerus,asexual,Synergus apicalis,
HU,Hungary,Andricus amblycerus,asexual,Synergus facialis,1
AT,Austria,Andricus amblycerus,asexual,Synergus pallipes,
HU,Hungary,Andricus amblycerus,asexual,Synergus pallipes,1
AT,Austria,Andricus amblycerus,asexual,Synergus umbraculus,
PL,Poland,Andricus amblycerus,asexual,Synergus umbraculus,
AT,Austria,Andricus amblycerus,asexual,Eurytoma setigera,1
HU,Hungary,Andricus amblycerus,asexual,Sycophila biguttata,4
HU,Hungary,Andricus amblycerus,asexual,Sycophila flavicollis,1
HU,Hungary,Andricus amblycerus,asexual,Sycophila variegata,1
RO,Romania,Andricus amblycerus,asexual,Ormyrus nitidulus,
AT,Austria,Andricus amblycerus,asexual,Ormyrus nitidulus,6
HU,Hungary,Andricus amblycerus,asexual,Ormyrus nitidulus,25
HU,Hungary,Andricus amblycerus,asexual,Caenacis lauta,1
HU,Hungary,Andricus amblycerus,asexual,Eupelmus urozonus,4
AT,Austria,Andricus amenti,bisexual,Mesopolobus amaenus,
AT,Austria,Andricus amenti,bisexual,Mesopolobus tibialis,
AT,Austria,Andricus amenti,bisexual,Mesopolobus xanthocerus,
FR,France,Andricus amenti,bisexual,Mesopolobus xanthocerus,12
AT,Austria,Andricus amenti,bisexual,Eupelmus urozonus,
AT,Austria,Andricus amenti,bisexual,Aulogymnus gallarum,
FR,France,Andricus amenti,bisexual,Aulogymnus gallarum,5
FR,France,Andricus amenti,bisexual,Aprostocetus aethiops,3
FR,France,Andricus amenti,bisexual,Aprostocetus sp.,1
NA,,Andricus amenti,bisexual,Andricus amenti,
DE,Germany,Andricus amenti,bisexual,Synergus pallipes,
HU,Hungary,Andricus amenti,bisexual,Eurytoma brunniventris,1
HU,Hungary,Andricus amenti,bisexual,Mesopolobus fasciiventris,2
HU,Hungary,Andricus amenti,bisexual,Eupelmus urozonus,2
GB,United Kingdom,Andricus aries,asexual,Ceroptres clavicornis,2
HU,Hungary,Andricus aries,asexual,Ceroptres clavicornis,4
GB,United Kingdom,Andricus aries,asexual,Synergus facialis,16
HU,Hungary,Andricus aries,asexual,Synergus hayneanus,4
GB,United Kingdom,Andricus aries,asexual,Synergus pallipes,1
GB,United Kingdom,Andricus aries,asexual,Synergus reinhardi,15
GB,United Kingdom,Andricus aries,asexual,Synergus tibialis,2
HU,Hungary,Andricus aries,asexual,Synergus umbraculus,16
HU,Hungary,Andricus aries,asexual,Eurytoma adleriae,2
AT,Austria,Andricus aries,asexual,Eurytoma brunniventris,
GB,United Kingdom,Andricus aries,asexual,Eurytoma brunniventris,4
HU,Hungary,Andricus aries,asexual,Eurytoma brunniventris,1
GB,United Kingdom,Andricus aries,asexual,Sycophila biguttata,5
HU,Hungary,Andricus aries,asexual,Sycophila biguttata,1
GB,United Kingdom,Andricus aries,asexual,Sycophila flavicollis,3
GB,United Kingdom,Andricus aries,asexual,Megastigmus dorsalis,6
GB,United Kingdom,Andricus aries,asexual,Megastigmus ?stigmatizans,1
AT,Austria,Andricus aries,asexual,Ormyrus nitidulus,6
AT,Austria,Andricus aries,asexual,Ormyrus pomaceus,10
HU,Hungary,Andricus aries,asexual,Ormyrus pomaceus,2
UA,Ukraine,Andricus aries,asexual,Ormyrus pomaceus,4
AT,Austria,Andricus aries,asexual,Caenacis lauta,
AT,Austria,Andricus aries,asexual,Eupelmus spongipartus,
AT,Austria,Andricus aries,asexual,Eupelmus urozonus,
TR,Turkey,Andricus askewi,asexual,Synergus sp.,4
TR,Turkey,Andricus askewi,asexual,Eurytoma brunniventris,3
TR,Turkey,Andricus askewi,asexual,Sycophila biguttata,8
TR,Turkey,Andricus askewi,asexual,Megastigmus dorsalis,1
TR,Turkey,Andricus askewi,asexual,Ormyrus nitidulus,4
TR,Turkey,Andricus askewi,asexual,Cecidostiba fungosa,2
TR,Turkey,Andricus askewi,asexual,(Ichneumonidae sp.),1
AT,Austria,Andricus burgundus,bisexual [see also Synophrus politus],Ceroptres cerri,8
HU,Hungary,Andricus burgundus,bisexual [see also Synophrus politus],Ceroptres cerri,33
ES,Spain,Andricus burgundus,bisexual [see also Synophrus politus],Synophrus politus,
HU,Hungary,Andricus burgundus,bisexual [see also Synophrus politus],Eurytoma brunniventris,1
ES,Spain,Andricus burgundus,bisexual [see also Synophrus politus],Eurytoma brunniventris,1
HU,Hungary,Andricus burgundus,bisexual [see also Synophrus politus],Eurytoma brunniventris,2
ES,Spain,Andricus burgundus,bisexual [see also Synophrus politus],Sycophila variegata,1
HU,Hungary,Andricus burgundus,bisexual [see also Synophrus politus],Megastigmus dorsalis,1
ES,Spain,Andricus burgundus,bisexual [see also Synophrus politus],Torymus auratus,
ES,Spain,Andricus burgundus,bisexual [see also Synophrus politus],Ormyrus pomaceus,1
ES,Spain,Andricus burgundus,bisexual [see also Synophrus politus],Ormocerus vernalis,14
HU,Hungary,Andricus burgundus,bisexual [see also Synophrus politus],Cecidostiba fungosa,53
HU,Hungary,Andricus burgundus,bisexual [see also Synophrus politus],Cecidostiba saportai,21
HU,Hungary,Andricus burgundus,bisexual [see also Synophrus politus],Cecidostiba semifascia,2
FR,France,Andricus burgundus,bisexual [see also Synophrus politus],Mesopolobus albitarsus,11
HU,Hungary,Andricus burgundus,bisexual [see also Synophrus politus],Mesopolobus amaenus,7
IT,Italy,Andricus burgundus,bisexual [see also Synophrus politus],Mesopolobus amaenus,
ES,Spain,Andricus burgundus,bisexual [see also Synophrus politus],Mesopolobus dubius,
HU,Hungary,Andricus burgundus,bisexual [see also Synophrus politus],Mesopolobus fasciiventris,1
HU,Hungary,Andricus burgundus,bisexual [see also Synophrus politus],Mesopolobus fuscipes,27
ES,Spain,Andricus burgundus,bisexual [see also Synophrus politus],Mesopolobus lichtensteini,2
IT,Italy,Andricus burgundus,bisexual [see also Synophrus politus],Mesopolobus lichtensteini,
NA,,Andricus burgundus,bisexual [see also Synophrus politus],(Pujade-Villar 2005),
ES,Spain,Andricus burgundus,bisexual [see also Synophrus politus],Mesopolobus mediterraneus,2
ES,Spain,Andricus burgundus,bisexual [see also Synophrus politus],Mesopolobus tarsatus,4
ES,Spain,Andricus burgundus,bisexual [see also Synophrus politus],Mesopolobus tibialis,1
HU,Hungary,Andricus burgundus,bisexual [see also Synophrus politus],Mesopolobus tibialis,2
ES,Spain,Andricus burgundus,bisexual [see also Synophrus politus],Mesopolobus xanthocerus,70
FR,France,Andricus burgundus,bisexual [see also Synophrus politus],Mesopolobus xanthocerus,12
HU,Hungary,Andricus burgundus,bisexual [see also Synophrus politus],Mesopolobus xanthocerus,107
HU,Hungary,Andricus burgundus,bisexual [see also Synophrus politus],Eupelmus urozonus,22
ES,Spain,Andricus burgundus,bisexual [see also Synophrus politus],Eupelmus vesicularis,
ES,Spain,Andricus burgundus,bisexual [see also Synophrus politus],Aulogymnus gallarum,5
HU,Hungary,Andricus burgundus,bisexual [see also Synophrus politus],Aulogymnus gallarum,27
ES,Spain,Andricus burgundus,bisexual [see also Synophrus politus],Aulogymnus testaceoviridis,63
FR,France,Andricus burgundus,bisexual [see also Synophrus politus],Aulogymnus testaceoviridis,68
HU,Hungary,Andricus burgundus,bisexual [see also Synophrus politus],Aulogymnus testaceoviridis,19
HU,Hungary,Andricus burgundus,bisexual [see also Synophrus politus],Aprostocetus aethiops,3
HU,Hungary,Andricus burgundus,bisexual [see also Synophrus politus],Aprostocetus cerricola,4
ES,Spain,Andricus burgundus,bisexual [see also Synophrus politus],Aprostocetus sp.,
FR,France,Andricus burgundus,bisexual [see also Synophrus politus],(Aprostocetus sp. lycidas gp),1
HU,Hungary,Andricus burgundus,bisexual [see also Synophrus politus],Baryscapus ?pallidae,5
ES,Spain,Andricus burgundus,bisexual [see also Synophrus politus],Pediobius rotundatus,11
AT,Austria,Andricus caliciformis,asexual,Ceroptres clavicornis,
HU,Hungary,Andricus caliciformis,asexual,Synergus facialis,11
HU,Hungary,Andricus caliciformis,asexual,Synergus hayneanus,2
HU,Hungary,Andricus caliciformis,asexual,Synergus pallicornis,1
AT,Austria,Andricus caliciformis,asexual,Synergus pallipes,
HU,Hungary,Andricus caliciformis,asexual,Synergus pallipes,7
AT,Austria,Andricus caliciformis,asexual,Synergus reinhardi,
HU,Hungary,Andricus caliciformis,asexual,Synergus reinhardi,
UA,Ukraine,Andricus caliciformis,asexual,Synergus reinhardi,
AT,Austria,Andricus caliciformis,asexual,Synergus umbraculus,
HU,Hungary,Andricus caliciformis,asexual,Synergus umbraculus,20
NA,,Andricus caliciformis,asexual,(Diakontschuk & Melika 1994),
SK,Slovakia,Andricus caliciformis,asexual,Eurytoma adleriae,1
AT,Austria,Andricus caliciformis,asexual,Eurytoma brunniventris,
BG,Bulgaria,Andricus caliciformis,asexual,Eurytoma brunniventris,1
HU,Hungary,Andricus caliciformis,asexual,Eurytoma brunniventris,29
RO,Romania,Andricus caliciformis,asexual,Eurytoma brunniventris,
HU,Hungary,Andricus caliciformis,asexual,Eurytoma setigera,
HU,Hungary,Andricus caliciformis,asexual,Sycophila biguttata,
HU,Hungary,Andricus caliciformis,asexual,Megastigmus dorsalis,6
RO,Romania,Andricus caliciformis,asexual,Megastigmus dorsalis,
AT,Austria,Andricus caliciformis,asexual,Ormyrus nitidulus,4
HU,Hungary,Andricus caliciformis,asexual,Ormyrus nitidulus,1
HU,Hungary,Andricus caliciformis,asexual,Ormyrus pomaceus,3
HU,Hungary,Andricus caliciformis,asexual,Caenacis lauta,1
HU,Hungary,Andricus caliciformis,asexual,Cecidostiba fungosa,8
HU,Hungary,Andricus caliciformis,asexual,Cecidostiba fungosa,20
HU,Hungary,Andricus caliciformis,asexual,Aulogymnus sp.,3
FI,Finland,Andricus callidoma,bisexual,Torymus flavipes,1
FI,Finland,Andricus callidoma,bisexual,Mesopolobus fasciiventris,1
GB,United Kingdom,Andricus callidoma,bisexual,Mesopolobus ?fuscipes,1
FI,Finland,Andricus callidoma,bisexual,Mesopolobus tibialis,4
NL,Netherlands,Andricus callidoma,bisexual,Mesopolobus tibialis,
FI,Finland,Andricus callidoma,bisexual,Mesopolobus xanthocerus,11
GB,United Kingdom,Andricus callidoma,bisexual,Mesopolobus xanthocerus,2
FI,Finland,Andricus callidoma,bisexual,(Pteromalus chrysos & P. spp.),3
FI,Finland,Andricus callidoma,bisexual,Eupelmus urozonus,2
FI,Finland,Andricus callidoma,bisexual,Aulogymnus gallarum,16
GB,United Kingdom,Andricus callidoma,bisexual,Aulogymnus gallarum,2
FI,Finland,Andricus callidoma,bisexual,Aprostocetus aethiops,13
NA,,Andricus callidoma,bisexual,Andricus callidoma,
AD,Andorra,Andricus callidoma,bisexual,Ceroptres clavicornis,
AT,Austria,Andricus callidoma,bisexual,Synergus facialis,
DE,Germany,Andricus callidoma,bisexual,Synergus facialis,3
ES,Spain,Andricus callidoma,bisexual,Synergus facialis,6
FR,France,Andricus callidoma,bisexual,pyrenaica,1
GB(9,,Andricus callidoma,bisexual,pyrenaica,9
NL,Netherlands,Andricus callidoma,bisexual,pyrenaica,
PL,Poland,Andricus callidoma,bisexual,pyrenaica,
RU,Russian Federation,Andricus callidoma,bisexual,pyrenaica,
UA,Ukraine,Andricus callidoma,bisexual,pyrenaica,
AT,Austria,Andricus callidoma,bisexual,Synergus pallipes,
NL,Netherlands,Andricus callidoma,bisexual,Synergus pallipes,
PL,Poland,Andricus callidoma,bisexual,Synergus pallipes,
UA,Ukraine,Andricus callidoma,bisexual,Synergus pallipes,
AT,Austria,Andricus callidoma,bisexual,Synergus radiatus,
DE,Germany,Andricus callidoma,bisexual,Synergus radiatus,
DK,Denmark,Andricus callidoma,bisexual,Synergus radiatus,
NL,Netherlands,Andricus callidoma,bisexual,Synergus radiatus,
PL,Poland,Andricus callidoma,bisexual,Synergus radiatus,
UA,Ukraine,Andricus callidoma,bisexual,Synergus radiatus,
AT,Austria,Andricus callidoma,bisexual,Synergus thaumacerus,
AT,Austria,Andricus callidoma,bisexual,Eurytoma brunniventris,
FI,Finland,Andricus callidoma,bisexual,Eurytoma brunniventris,1
FR,France,Andricus callidoma,bisexual,Eurytoma brunniventris,4
GB,United Kingdom,Andricus callidoma,bisexual,Eurytoma brunniventris,1
AT,Austria,Andricus callidoma,bisexual,Ormyrus pomaceus,1
ES,Spain,Andricus callidoma,bisexual,Ormyrus pomaceus,1
AT,Austria,Andricus callidoma,bisexual,Caenacis lauta,
AT,Austria,Andricus callidoma,bisexual,Mesopolobus fasciiventris,3
GB,United Kingdom,Andricus callidoma,bisexual,Mesopolobus fasciiventris,1
AD,Andorra,Andricus callidoma,bisexual,Mesopolobus sericeus,
GB,United Kingdom,Andricus callidoma,bisexual,Mesopolobus sericeus,1
FI,Finland,Andricus callidoma,bisexual,(Pteromalus chrysos),1
FR,France,Andricus callidoma,bisexual,Eupelmus spongipartus,1
RO,Romania,Andricus callidoma,bisexual,Eupelmus urozonus,
HU,Hungary,Andricus caputmedusae,asexual,Ceroptres clavicornis,1
HU,Hungary,Andricus caputmedusae,asexual,Synergus crassicornis,1
AT,Austria,Andricus caputmedusae,asexual,Synergus facialis,
HU,Hungary,Andricus caputmedusae,asexual,Synergus facialis,141
HU,Hungary,Andricus caputmedusae,asexual,Synergus hayneanus,62
AT,Austria,Andricus caputmedusae,asexual,Synergus pallicornis,
HU,Hungary,Andricus caputmedusae,asexual,Synergus pallicornis,28
RO,Romania,Andricus caputmedusae,asexual,Synergus pallicornis,
HU,Hungary,Andricus caputmedusae,asexual,Synergus pallidipennis,2
AT,Austria,Andricus caputmedusae,asexual,Synergus pallipes,
HU,Hungary,Andricus caputmedusae,asexual,Synergus pallipes,40
RO,Romania,Andricus caputmedusae,asexual,Synergus pallipes,
TR,Turkey,Andricus caputmedusae,asexual,Synergus pallipes,1
AT,Austria,Andricus caputmedusae,asexual,Synergus reinhardi,
AT,Austria,Andricus caputmedusae,asexual,Synergus umbraculus,
HU,Hungary,Andricus caputmedusae,asexual,Synergus umbraculus,33
PL,Poland,Andricus caputmedusae,asexual,Synergus umbraculus,
TR,Turkey,Andricus caputmedusae,asexual,Synergus umbraculus,5
HU,Hungary,Andricus caputmedusae,asexual,Eurytoma adleriae,1
AT,Austria,Andricus caputmedusae,asexual,Eurytoma brunniventris,
BG,Bulgaria,Andricus caputmedusae,asexual,Eurytoma brunniventris,1
HU,Hungary,Andricus caputmedusae,asexual,Eurytoma brunniventris,47
AT,Austria,Andricus caputmedusae,asexual,Eurytoma setigera,1
HU,Hungary,Andricus caputmedusae,asexual,Eurytoma setigera,7
TR,Turkey,Andricus caputmedusae,asexual,Eurytoma sp.(1),1
AT,Austria,Andricus caputmedusae,asexual,Eurytoma sp.(1),47
BG,Bulgaria,Andricus caputmedusae,asexual,Eurytoma sp.(1),4
HU,Hungary,Andricus caputmedusae,asexual,Eurytoma sp.(1),41
RO,Romania,Andricus caputmedusae,asexual,Eurytoma sp.(1),
TR,Turkey,Andricus caputmedusae,asexual,Eurytoma sp.(1),1
HU,Hungary,Andricus caputmedusae,asexual,Sycophila variegata,3
AT,Austria,Andricus caputmedusae,asexual,Megastigmus dorsalis,
HU,Hungary,Andricus caputmedusae,asexual,Megastigmus dorsalis,10
TR,Turkey,Andricus caputmedusae,asexual,Megastigmus dorsalis,3
AT,Austria,Andricus caputmedusae,asexual,Megastigmus stigmatizans,
BG,Bulgaria,Andricus caputmedusae,asexual,Megastigmus stigmatizans,3
HU,Hungary,Andricus caputmedusae,asexual,Megastigmus stigmatizans,17
TR,Turkey,Andricus caputmedusae,asexual,Megastigmus stigmatizans,1
BG,Bulgaria,Andricus caputmedusae,asexual,Ormyrus nitidulus,3
HU,Hungary,Andricus caputmedusae,asexual,Ormyrus nitidulus,15
TR,Turkey,Andricus caputmedusae,asexual,Ormyrus nitidulus,2
AT,Austria,Andricus caputmedusae,asexual,Ormyrus pomaceus,2
HU,Hungary,Andricus caputmedusae,asexual,Ormyrus pomaceus,2
HU,Hungary,Andricus caputmedusae,asexual,Caenacis lauta,2
AT,Austria,Andricus caputmedusae,asexual,Cecidostiba fungosa,
HU,Hungary,Andricus caputmedusae,asexual,Cecidostiba fungosa,245
TR,Turkey,Andricus caputmedusae,asexual,Cecidostiba fungosa,9
HU,Hungary,Andricus caputmedusae,asexual,Hobbya stenonota,4
RO,Romania,Andricus caputmedusae,asexual,Eupelmus ?cerris,
AT,Austria,Andricus caputmedusae,asexual,Eupelmus spongipartus,
HU,Hungary,Andricus caputmedusae,asexual,Eupelmus spongipartus,15
AT,Austria,Andricus caputmedusae,asexual,Eupelmus urozonus,
HU,Hungary,Andricus caputmedusae,asexual,Eupelmus urozonus,14
HU,Hungary,Andricus caputmedusae,asexual,Eupelmus vesicularis,1
HU,Hungary,Andricus caputmedusae,asexual,Aulogymnus gallarum,1
BG,Bulgaria,Andricus caputmedusae,asexual,Aulogymnus trilineatus,1
HU,Hungary,Andricus caputmedusae,asexual,Aulogymnus trilineatus,29
RO,Romania,Andricus caputmedusae,asexual,Aulogymnus trilineatus,
TR,Turkey,Andricus caputmedusae,asexual,Aulogymnus trilineatus,8
BG,Bulgaria,Andricus caputmedusae,asexual,Baryscapus berhidanus,1
HU,Hungary,Andricus caputmedusae,asexual,Baryscapus berhidanus,9
TR,Turkey,Andricus caputmedusae,asexual,Baryscapus berhidanus,1
HU,Hungary,Andricus caputmedusae,asexual,Baryscapus ?diaphantus,13
HU,Hungary,Andricus caputmedusae,asexual,Baryscapus ?pallidae,19
HU,Hungary,Andricus caputmedusae,asexual,Pediobius pyrgo,7
TR,Turkey,Andricus caputmedusae,asexual,Pediobius saulius,1
HU,Hungary,Andricus caputmedusae,asexual,(Gelinae sp.),3
HU,Hungary,Andricus caputmedusae,asexual,(Ichneumonidae sp.),2
JO,Jordan,Andricus cecconii,bisexual,Ceroptres cerri,3
GR,Greece,Andricus cecconii,bisexual,Eurytoma brunniventris,
GR,Greece,Andricus cecconii,bisexual,Ormyrus pomaceus,
GR,Greece,Andricus cecconii,bisexual,Aulogymnus gallarum,
JO,Jordan,Andricus cecconii,bisexual,(Perilampus sp. nr tristis),7
AT,Austria,Andricus clementinae,may be the same as A. inflator,Synergus facialis,
AT,Austria,Andricus clementinae,may be the same as A. inflator,Synergus pallipes,
AT,Austria,Andricus clementinae,may be the same as A. inflator,Synergus umbraculus,
PL,Poland,Andricus clementinae,may be the same as A. inflator,Synergus umbraculus,
AT,Austria,Andricus clementinae,may be the same as A. inflator,Sycophila biguttata,4
AT,Austria,Andricus conglomeratus,asexual,Ceroptres clavicornis,
FR,France,Andricus conglomeratus,asexual,Ceroptres clavicornis,2
HU,Hungary,Andricus conglomeratus,asexual,Ceroptres clavicornis,1
UA,Ukraine,Andricus conglomeratus,asexual,Ceroptres clavicornis,
AT,Austria,Andricus conglomeratus,asexual,Synergus apicalis,
HU,Hungary,Andricus conglomeratus,asexual,Synergus apicalis,
UA,Ukraine,Andricus conglomeratus,asexual,Synergus apicalis,
AT,Austria,Andricus conglomeratus,asexual,Synergus facialis,
HU,Hungary,Andricus conglomeratus,asexual,Synergus facialis,122
AT,Austria,Andricus conglomeratus,asexual,Synergus hayneanus,
HU,Hungary,Andricus conglomeratus,asexual,Synergus hayneanus,10
RO,Romania,Andricus conglomeratus,asexual,Synergus hayneanus,
UA,Ukraine,Andricus conglomeratus,asexual,Synergus hayneanus,
AT,Austria,Andricus conglomeratus,asexual,Synergus pallicornis,1
HU,Hungary,Andricus conglomeratus,asexual,Synergus pallicornis,14
IT,Italy,Andricus conglomeratus,asexual,Synergus pallicornis,
RO,Romania,Andricus conglomeratus,asexual,Synergus pallicornis,
UA,Ukraine,Andricus conglomeratus,asexual,Synergus pallicornis,
HU,Hungary,Andricus conglomeratus,asexual,Synergus pallidipennis,
AT,Austria,Andricus conglomeratus,asexual,Synergus pallipes,
HU,Hungary,Andricus conglomeratus,asexual,Synergus pallipes,122
AT,Austria,Andricus conglomeratus,asexual,Synergus umbraculus,6
HU,Hungary,Andricus conglomeratus,asexual,Synergus umbraculus,88
PL,Poland,Andricus conglomeratus,asexual,Synergus umbraculus,
UA,Ukraine,Andricus conglomeratus,asexual,Synergus umbraculus,
GR,Greece,Andricus conglomeratus,asexual,Eurytoma adleriae,4
HU,Hungary,Andricus conglomeratus,asexual,Eurytoma adleriae,1
SK,Slovakia,Andricus conglomeratus,asexual,Eurytoma adleriae,1
UA,Ukraine,Andricus conglomeratus,asexual,Eurytoma adleriae,
AT,Austria,Andricus conglomeratus,asexual,Eurytoma brunniventris,4
BG,Bulgaria,Andricus conglomeratus,asexual,Eurytoma brunniventris,21
GR,Greece,Andricus conglomeratus,asexual,Eurytoma brunniventris,4
HU,Hungary,Andricus conglomeratus,asexual,Eurytoma brunniventris,203
RO,Romania,Andricus conglomeratus,asexual,Eurytoma brunniventris,3
AT,Austria,Andricus conglomeratus,asexual,Eurytoma setigera,
HR,Croatia,Andricus conglomeratus,asexual,Eurytoma setigera,
HU,Hungary,Andricus conglomeratus,asexual,Eurytoma setigera,8
RO,Romania,Andricus conglomeratus,asexual,Eurytoma setigera,
AT,Austria,Andricus conglomeratus,asexual,Sycophila biguttata,13
BG,Bulgaria,Andricus conglomeratus,asexual,Sycophila biguttata,5
HU,Hungary,Andricus conglomeratus,asexual,Sycophila biguttata,6
RO,Romania,Andricus conglomeratus,asexual,Sycophila biguttata,1
BG,Bulgaria,Andricus conglomeratus,asexual,Sycophila flavicollis,2
HU,Hungary,Andricus conglomeratus,asexual,Sycophila flavicollis,
RO,Romania,Andricus conglomeratus,asexual,Sycophila flavicollis,1
AT,Austria,Andricus conglomeratus,asexual,Sycophila variegata,5
HU,Hungary,Andricus conglomeratus,asexual,Sycophila variegata,2
RO,Romania,Andricus conglomeratus,asexual,Sycophila variegata,
AT,Austria,Andricus conglomeratus,asexual,Megastigmus dorsalis,3
BG,Bulgaria,Andricus conglomeratus,asexual,Megastigmus dorsalis,12
HU,Hungary,Andricus conglomeratus,asexual,Megastigmus dorsalis,8
RO,Romania,Andricus conglomeratus,asexual,Megastigmus dorsalis,
UA,Ukraine,Andricus conglomeratus,asexual,Megastigmus dorsalis,3
HU,Hungary,Andricus conglomeratus,asexual,Torymus affinis,1
BG,Bulgaria,Andricus conglomeratus,asexual,Torymus auratus,1
HU,Hungary,Andricus conglomeratus,asexual,Torymus auratus,
RO,Romania,Andricus conglomeratus,asexual,Torymus auratus,
UA,Ukraine,Andricus conglomeratus,asexual,Torymus auratus,1
BG,Bulgaria,Andricus conglomeratus,asexual,Torymus flavipes,2
AT,Austria,Andricus conglomeratus,asexual,Ormyrus nitidulus,7
BG,Bulgaria,Andricus conglomeratus,asexual,Ormyrus nitidulus,4
GR,Greece,Andricus conglomeratus,asexual,Ormyrus nitidulus,1
HU,Hungary,Andricus conglomeratus,asexual,Ormyrus nitidulus,32
RO,Romania,Andricus conglomeratus,asexual,Ormyrus nitidulus,2
UA,Ukraine,Andricus conglomeratus,asexual,Ormyrus nitidulus,1
AT,Austria,Andricus conglomeratus,asexual,Ormyrus pomaceus,6
HU,Hungary,Andricus conglomeratus,asexual,Ormyrus pomaceus,7
RO,Romania,Andricus conglomeratus,asexual,Ormyrus pomaceus,
HU,Hungary,Andricus conglomeratus,asexual,Ormyrus nitidulus or O. pomaceus,8
GR,Greece,Andricus conglomeratus,asexual,Cyrtoptyx robustus,2
AT,Austria,Andricus conglomeratus,asexual,Caenacis lauta,
HU,Hungary,Andricus conglomeratus,asexual,Caenacis lauta,35
RO,Romania,Andricus conglomeratus,asexual,Caenacis lauta,3
AT,Austria,Andricus conglomeratus,asexual,Cecidostiba fungosa,
HU,Hungary,Andricus conglomeratus,asexual,Cecidostiba fungosa,34
HU,Hungary,Andricus conglomeratus,asexual,Cecidostiba semifascia,2
HU,Hungary,Andricus conglomeratus,asexual,Hobbya stenonota,
RO,Romania,Andricus conglomeratus,asexual,Hobbya stenonota,
HU,Hungary,Andricus conglomeratus,asexual,Mesopolobus fasciiventris,3
RO,Romania,Andricus conglomeratus,asexual,Mesopolobus fasciiventris,
HR,Croatia,Andricus conglomeratus,asexual,Mesopolobus sericeus,1
HU,Hungary,Andricus conglomeratus,asexual,Mesopolobus sericeus,
AT,Austria,Andricus conglomeratus,asexual,Eupelmus spongipartus,
HU,Hungary,Andricus conglomeratus,asexual,Eupelmus spongipartus,42
RO,Romania,Andricus conglomeratus,asexual,Eupelmus spongipartus,
AT,Austria,Andricus conglomeratus,asexual,Eupelmus urozonus,
HU,Hungary,Andricus conglomeratus,asexual,Eupelmus urozonus,4
RO,Romania,Andricus conglomeratus,asexual,Eupelmus urozonus,
HU,Hungary,Andricus conglomeratus,asexual,Eupelmus vesicularis,5
RO,Romania,Andricus conglomeratus,asexual,Eupelmus vesicularis,1
HU,Hungary,Andricus conglomeratus,asexual,Aulogymnus arsames,1
HU,Hungary,Andricus conglomeratus,asexual,Aulogymnus gallarum,2
HU,Hungary,Andricus conglomeratus,asexual,Aulogymnus trilineatus,
RO,Romania,Andricus conglomeratus,asexual,Aulogymnus trilineatus,1
HU,Hungary,Andricus conglomeratus,asexual,(Ichneumonidae sp(p).),6
HU,Hungary,Andricus conificus,asexual,Synergus diaphanus,175
AT,Austria,Andricus conificus,asexual,Synergus facialis,
GR,Greece,Andricus conificus,asexual,Synergus facialis,5
HU,Hungary,Andricus conificus,asexual,Synergus facialis,22
HU,Hungary,Andricus conificus,asexual,Synergus hayneanus,8
AT,Austria,Andricus conificus,asexual,Synergus pallidipennis,
HU,Hungary,Andricus conificus,asexual,Synergus pallidipennis,42
HU,Hungary,Andricus conificus,asexual,Synergus pallipes,17
AT,Austria,Andricus conificus,asexual,Synergus umbraculus,
HU,Hungary,Andricus conificus,asexual,Synergus umbraculus,43
AT,Austria,Andricus conificus,asexual,Eurytoma brunniventris,2
GR,Greece,Andricus conificus,asexual,Eurytoma brunniventris,1
HU,Hungary,Andricus conificus,asexual,Eurytoma brunniventris,33
IT,Italy,Andricus conificus,asexual,Eurytoma brunniventris,1
RO,Romania,Andricus conificus,asexual,Eurytoma brunniventris,
HU,Hungary,Andricus conificus,asexual,Eurytoma setigera,1
HU,Hungary,Andricus conificus,asexual,Torymus flavipes,1
BG,Bulgaria,Andricus conificus,asexual,Ormyrus nitidulus,1
HU,Hungary,Andricus conificus,asexual,Ormyrus nitidulus,6
RO,Romania,Andricus conificus,asexual,Ormyrus nitidulus,
GR,Greece,Andricus conificus,asexual,Ormyrus pomaceus,1
HU,Hungary,Andricus conificus,asexual,Ormyrus pomaceus,9
HU,Hungary,Andricus conificus,asexual,Eupelmus urozonus,1
RO,Romania,Andricus conificus,asexual,Eupelmus urozonus,
HU,Hungary,Andricus conificus,asexual,Baryscapus ?pallidae,1
ES,Spain,Andricus coriarius,asexual,Ceroptres clavicornis,2
HU,Hungary,Andricus coriarius,asexual,Ceroptres clavicornis,13
HU,Hungary,Andricus coriarius,asexual,Synergus crassicornis,
ES,Spain,Andricus coriarius,asexual,Synergus facialis,25
HU,Hungary,Andricus coriarius,asexual,Synergus facialis,245
IT,Italy,Andricus coriarius,asexual,Synergus facialis,
TR,Turkey,Andricus coriarius,asexual,Synergus facialis,3
ES,Spain,Andricus coriarius,asexual,Synergus hayneanus,514
