"species","family","plant","plantPart","noHosts","hostType","impact"
"Abraxas grossulariata","Geometridae","Hedera helix","-","","-",""
"Abraxas grossulariata","Lepidoptera","Prunus padus","leaves","","-",""
"Abraxas sylvata","Geometridae","Ulmus glabra","leaves","oligophagous","principal","-"
"Abrostola trigemina","Noctuidae","Humulus lupulus","-","oligophagous","subsidiary","-"
"Abrostola triplasia","Noctuidae","Urtica dioica","leaves","monophagous","-","-"
"Acalyptus carpini","Curculionidae","Salix cinerea","leaves","oligophagous","principal","-"
"Acanephodus onopordi","Brentidae","Cirsium eriophorum","roots","","-",""
"Acanthiophilus helianthi","Tephritidae","Cirsium vulgare","flowers","Polyphagous","-",""
"Acanthosoma haemorrhoidale","Acanthosomatidae","Betula pendula","leaves","Polyphagous","-",""
"Acanthosoma haemorrhoidale","Acanthosomatidae","Betula pubescens","leaves","Polyphagous","-",""
"Acasis viretata","Geometridae","Hedera helix","-","","-",""
"Acasis viretata","Geometridae","Ilex aquifolium","flowers,fruits/seeds","polyphagous","principal","-"
"Acasis viretata","Geometridae","Viburnum opulus","","","-",""
"Aceria cornuta","Eriophyidae","Festuca arundinacea","-","","-",""
"Aceria cornuta","Eriophyidae","Avenula pratensis","shoots","","-",""
"Aceria cornuta","Eriophyidae","Festuca elatior","-","","-",""
"Aceria cornuta","Eriophyidae","Avenochloa pratensis","shoots","","-",""
"Aceria cornuta","Eriophyidae","Helictotrichon pratense","shoots","","-",""
"Acherontia atropos","Sphingidae","Cornus suecica","-","","-",""
"Acherontia atropos","Sphingidae","Chamaepericlymenum suecicum","-","","-",""
"Achlya flavicornis","Thyatiridae","Betula pendula","-","monophagous","-","-"
"Achlya flavicornis","Thayatiridae","Betula pubescens","leaves","Monophagous","-",""
"Acleris aspersana","Tortricidae","Helianthemum nummularium","leaves,shoots","polyphagous","-","I"
"Acleris aspersana","Tortricidae","Ulmus glabra","-","-","-","-"
"Acleris aspersana","Tortricidae","Helianthemum canum","leaves,shoots","polyphagous","-","I"
"Acleris aspersana","Tortricidae","Helianthemum chamaecistus","leaves,shoots","polyphagous","-","I"
"Acleris boscana","Tortricidae","Ulmus glabra","leaves","monophagous","-","I"
"Acleris boscana","Tortricidae","Ulmus procera","leaves","monophagous","-","I"
"Acleris boscana","Tortricidae","Ulmus minor","leaves","monophagous","-","I"
"Acleris boscana","Tortricidae","Ulmus minor var. vulgaris","leaves","monophagous","-","I"
"Acleris boscana","Tortricidae","Ulmus angustifolia","leaves","monophagous","-","I"
"Acleris boscana","Tortricidae","Ulmus carpinifolia","leaves","monophagous","-","I"
"Acleris boscana","Tortricidae","Ulmus diversifolia","leaves","monophagous","-","I"
"Acleris boscana","Tortricidae","Ulmus sarniensis","leaves","monophagous","-","I"
"Acleris boscana","Tortricidae","Ulmus stricta","leaves","monophagous","-","I"
"Acleris caledoniana","Tortricidae","Myrica gale","leaves","polyphagous","-","I"
"Acleris caledoniana","Tortricidae","Myrica gale","shoots","polyphagous","-","I"
"Acleris caledoniana","Tortricidae","Vaccinium myrtillus","leaves","polyphagous","-","I"
"Acleris caledoniana","Tortricidae","Vaccinium myrtillus","shoots","polyphagous","-","I"
"Acleris comariana","Tortricidae","Fragaria vesca","leaves","oligophagous","-","-"
"Acleris comariana","Tortricidae","Geum rivale","leaves","oligophagous","-","-"
"Acleris comariana","Tortricidae","Geum rivale","leaves","","-",""
"Acleris comariana","Tortricidae","Comarum palustre","flowers","oligophagous","-","-"
"Acleris comariana","Tortricidae","Potentilla palustris","flowers","oligophagous","-","-"
"Acleris cristana","Tortricidae","Crataegus laevigata","leaves","oligophagous","subsidiary","-"
"Acleris cristana","Tortricidae","Crataegus monogyna","leaves","oligophagous","subsidiary","-"
"Acleris cristana","Tortricidae","Prunus spinosa","buds","oligophagous","principal","-"
"Acleris cristana","Tortricidae","Prunus spinosa","flower buds","oligophagous","principal","-"
"Acleris cristana","Tortricidae","Prunus spinosa","leaves","oligophagous","principal","-"
"Acleris cristana","Tortricidae","Sorbus aria","leaves","oligophagous","subsidiary","-"
"Acleris cristana","Tortricidae","Malus sylvestris","buds","oligophagous","-","-"
"Acleris cristana","Tortricidae","Malus sylvestris","flower buds","oligophagous","-","-"
"Acleris cristana","Tortricidae","Malus sylvestris","leaves","oligophagous","-","-"
"Acleris cristana","Tortricidae","Crataegus oxyacanthoides","leaves","oligophagous","subsidiary","-"
"Acleris emargana","Tortricidae","Betula pendula","leaves","Polyphagous","-",""
"Acleris emargana","Tortricidae","Betula pubescens","leaves","Polyphagous","-",""
"Acleris ferrugana","Tortricidae","Quercus petraea","leaves","polyphagous","principal","-"
"Acleris ferrugana","Tortricidae","Quercus robur","leaves","polyphagous","principal","-"
"Acleris hastiana","Tortricidae","Salix aurita","leaves","polyphagous","-","I"
"Acleris hastiana","Tortricidae","Salix cinerea","leaves","polyphagous","-","I"
"Acleris hastiana","Tortricidae","Salix repens","leaves","polyphagous","-","I"
"Acleris lipsiana","Tortricidae","Betula pendula","leaves","polyphagous","-","I"
"Acleris lipsiana","Tortricidae","Betula pubescens","leaves","Polyphagous","-",""
"Acleris lipsiana","Tortricidae","Myrica gale","-","","-",""
"Acleris literana","Tortricidae","Quercus petraea","leaves","monophagous","-","-"
"Acleris literana","Tortricidae","Quercus robur","leaves","monophagous","-","-"
"Acleris logiana","Tortricidae","Betula pendula","leaves","monophagous","-","-"
"Acleris logiana","Tortricidae","Betula pubescens","leaves","monophagous","-","-"
"Acleris lorquiniana","Tortricidae","Lythrum salicaria","flowers","monophagous","-","I"
"Acleris lorquiniana","Tortricidae","Lythrum salicaria","fruits/seeds","monophagous","-","I"
"Acleris lorquiniana","Tortricidae","Lythrum salicaria","shoots","monophagous","-","I"
"Acleris maccana","Tortricidae","Myrica gale","-","","-",""
"Acleris notana","Tortricidae","Betula pendula","leaves","polyphagous","principal","I"
"Acleris notana","Tortricidae","Betula pubescens","leaves","polyphagous","principal","I"
"Acleris notana","Tortricidae","Myrica gale","-","","-",""
"Acleris permutana","Tortricidae","Rosa spinosissima","leaves","monophagous","-","-"
"Acleris permutana","Tortricidae","Rosa spinosissima","shoots","monophagous","-","-"
"Acleris permutana","Tortricidae","Rosa pimpinellifolia","leaves","monophagous","-","-"
"Acleris permutana","Tortricidae","Rosa pimpinellifolia","shoots","monophagous","-","-"
"Acleris rhombana","Tortricidae","Crataegus laevigata","leaves","oligophagous","-","-"
"Acleris rhombana","Tortricidae","Crataegus monogyna","leaves","oligophagous","-","-"
"Acleris rhombana","Tortricidae","Prunus avium","flower buds","oligophagous","-","-"
"Acleris rhombana","Tortricidae","Prunus avium","leaves","oligophagous","-","-"
"Acleris rhombana","Tortricidae","Prunus domestica","buds","oligophagous","-","-"
"Acleris rhombana","Tortricidae","Prunus domestica","flower buds","oligophagous","-","-"
"Acleris rhombana","Tortricidae","Prunus domestica","leaves","oligophagous","-","-"
"Acleris rhombana","Tortricidae","Prunus spinosa","leaves","oligophagous","-","-"
"Acleris rhombana","Tortricidae","Sorbus aria","leaves","oligophagous","-","-"
"Acleris rhombana","Tortricidae","Sorbus aucuparia","leaves","oligophagous","-","-"
"Acleris rhombana","Tortricidae","Malus sylvestris","flower buds","oligophagous","-","-"
"Acleris rhombana","Tortricidae","Malus sylvestris","flowers","oligophagous","-","-"
"Acleris rhombana","Tortricidae","Malus sylvestris","leaves","oligophagous","-","-"
"Acleris rhombana","Tortricidae","Rosa canina","leaves","oligophagous","-","-"
"Acleris rhombana","Tortricidae","Rosa corymbifera","leaves","oligophagous","-","-"
"Acleris rhombana","Tortricidae","Rosa squarrosa","leaves","oligophagous","-","-"
"Acleris rhombana","Tortricidae","Crataegus oxyacanthoides","leaves","oligophagous","-","-"
"Acleris rhombana","Tortricidae","Prunus insititia","buds","oligophagous","-","-"
"Acleris rhombana","Tortricidae","Prunus insititia","flower buds","oligophagous","-","-"
"Acleris rhombana","Tortricidae","Prunus insititia","leaves","oligophagous","-","-"
"Acleris rufana","Tortricidae","Myrica gale","leaves","polyphagous","principal","I"
"Acleris rufana","Tortricidae","Rosa rugosa","leaves","","-",""
"Acleris schalleriana","Tortricidae","Viburnum lantana","leaves","monophagous","-","I"
"Acleris schalleriana","Tortricidae","Viburnum lantana","","","-",""
"Acleris schalleriana","Tortricidae","Viburnum opulus","leaves","monophagous","-","I"
"Acleris schalleriana","Tortricidae","Viburnum opulus","","","-",""
"Acleris shepherdana","Tortricidae","Filipendula ulmaria","shoots","monophagous","-","-"
"Acleris sparsana","Tortricidae","Acer platanoides","leaves","polyphagous","subsidiary","-"
"Acleris sparsana","Tortricidae","Sorbus aucuparia","-","-","-","-"
"Acleris umbrana","Tortricidae","Crataegus laevigata","leaves","oligophagous","-","-"
"Acleris umbrana","Tortricidae","Crataegus monogyna","leaves","oligophagous","-","-"
"Acleris umbrana","Lepidoptera","Prunus padus","leaves","","-",""
"Acleris umbrana","Tortricidae","Crataegus oxyacanthoides","leaves","oligophagous","-","-"
"Acleris variegana","Tortricidae","Crataegus laevigata","leaves","oligophagous","-","-"
"Acleris variegana","Tortricidae","Crataegus monogyna","leaves","oligophagous","-","-"
"Acleris variegana","Tortricidae","Prunus domestica","leaves","oligophagous","-","-"
"Acleris variegana","Tortricidae","Prunus spinosa","leaves","oligophagous","-","-"
"Acleris variegana","Tortricidae","Malus sylvestris","leaves","oligophagous","-","-"
"Acleris variegana","Tortricidae","Rosa canina","leaves","oligophagous","principal","-"
"Acleris variegana","Tortricidae","Rubus fruticosus","leaves","oligophagous","-","-"
"Acleris variegana","Tortricidae","Rosa corymbifera","leaves","oligophagous","principal","-"
"Acleris variegana","Tortricidae","Rosa squarrosa","leaves","oligophagous","principal","-"
"Acleris variegana","Tortricidae","Crataegus oxyacanthoides","leaves","oligophagous","-","-"
"Acleris variegana","Tortricidae","Prunus insititia","leaves","oligophagous","-","-"
"Acontia lucida","Noctuidae","Glechoma hederacea","-","","-",""
"Acontia lucida","Noctuidae","Nepeta glechoma","-","","-",""
"Acosmetia caliginosa","Noctuidae","Serratula tinctoria","leaves","monophagous","-","-"
"Acrobasis consociella","Pyralidae","Quercus petraea","leaves,woody parts","monophagous","-","I"
"Acrobasis consociella","Pyralidae","Quercus robur","leaves,woody parts","monophagous","-","I"
"Acrobasis repandana","Pyralidae","Quercus petraea","leaves","monophagous","-","I"
"Acrobasis repandana","Pyralidae","Quercus robur","leaves","monophagous","-","I"
"Acrocercops brongniardella","Gracillariidae","Quercus petraea","leaves","monophagous","-","I"
"Acrocercops brongniardella","Gracillariidae","Quercus robur","leaves","monophagous","-","I"
"Acrocercops imperialella","Gracillariidae","Pulmonaria officinalis","leaves","oligophagous","subsidiary","-"
"Acrocercops imperialella","Gracillariidae","Symphytum officinale","leaves","oligophagous","principal","-"
"Acroclita subsequana","Tortricidae","Euphorbia paralias","fruits/seeds","monophagous","-","I"
"Acroclita subsequana","Tortricidae","Euphorbia portlandica","fruits/seeds","polyphagous","-","I"
"Acrolepia autumnitella","Yponomeutidae","Solanum dulcamara","leaves","oligophagous","-","I"
"Acrolepia autumnitella","Yponomeutidae","Atropa belladonna","leaves","oligophagous","-","I"
"Acrolepiopsis betulella","Yponomeutidae","Allium ursinum","flowers","monophagous","-","-"
"Acrolepiopsis betulella","Yponomeutidae","Allium ursinum","fruits/seeds","monophagous","-","-"
"Acronicta aceris","Noctuidae","Betula pendula","-","Polyphagous","-",""
"Acronicta aceris","Noctuidae","Betula pubescens","-","Polyphagous","-",""
"Acronicta alni","Noctuidae","Betula pendula","-","Polyphagous","-",""
"Acronicta alni","Noctuidae","Betula pubescens","-","Polyphagous","-",""
"Acronicta auricoma","Noctuidae","Betula pendula","-","Polyphagous","-",""
"Acronicta auricoma","Noctuidae","Betula pubescens","-","Polyphagous","-",""
"Acronicta euphorbiae","Lepidoptera","Armeria maritima","-","","-",""
"Acronicta euphorbiae","Noctuidae","Myrica gale","-","","-",""
"Acronicta leporina","Noctuidae","Betula pendula","-","oligophagous","principal","-"
"Acronicta leporina","Noctuidae","Betula pubescens","-","Polyphagous","-",""
"Acronicta megacephala","Noctuidae","Populus tremula","leaves","oligophagous","subsidiary","-"
"Acronicta menyanthidis","Noctuidae","Myrica gale","-","","-",""
"Acronicta psi","Noctuidae","Betula pendula","-","","-",""
"Acronicta psi","Noctuidae","Betula pubescens","-","","-",""
"Acronicta psi","Noctuidae","Tilia cordata","leaves","Polyphagous","-",""
"Acronicta rumicis","Lepidoptera","Prunus padus","leaves","","-",""
"Acronicta tridens","Noctuidae","Betula pendula","-","Polyphagous","-",""
"Acronicta tridens","Noctuidae","Betula pubescens","-","Polyphagous","-",""
"Actebia praecox","Noctuidae","Salix repens","leaves","oligophagous","subsidiary","-"
"Acyrthosiphon auctus","Aphididae","Cakile maritima","flowers","oligophagous","-","-"
"Acyrthosiphon auctus","Aphididae","Honckenya peploides","flowers","oligophagous","-","-"
"Acyrthosiphon auctus","Aphididae","Honkenya peploides","flowers","oligophagous","-","-"
"Acyrthosiphon auctus","Aphididae","Cakile edentula","flowers","oligophagous","-","-"
"Acyrthosiphon caraganae","Aphididae","Colutea arborescens","-","monophagous","-","-"
"Acyrthosiphon malvae","Aphididae","Agrimonia eupatoria","leaves","monophagous","-","-"
"Acyrthosiphon malvae","Aphididae","Agrimonia eupatoria","shoots","monophagous","-","-"
"Acyrthosiphon malvae","Aphididae","Agrimonia eupatoria","stems","monophagous","-","-"
"Acyrthosiphon malvae","Aphididae","Erodium cicutarium","flowers","oligophagous","-","-"
"Acyrthosiphon malvae","Aphididae","Erodium cicutarium","leaves","oligophagous","-","-"
"Acyrthosiphon malvae","Aphididae","Fragaria vesca","stems","oligophagous","-","-"
"Acyrthosiphon malvae","Aphididae","Geranium molle","flowers","oligophagous","-","-"
"Acyrthosiphon malvae","Aphididae","Geranium molle","leaves","oligophagous","-","-"
"Acyrthosiphon malvae","Aphididae","Geranium phaeum","flowers","oligophagous","-","-"
"Acyrthosiphon malvae","Aphididae","Geranium phaeum","leaves","oligophagous","-","-"
"Acyrthosiphon malvae","Aphididae","Geranium pratense","flowers","oligophagous","-","-"
"Acyrthosiphon malvae","Aphididae","Geranium pratense","leaves","oligophagous","-","-"
"Acyrthosiphon malvae","Aphididae","Geranium pusillum","flowers","oligophagous","-","-"
"Acyrthosiphon malvae","Aphididae","Geranium pusillum","leaves","oligophagous","-","-"
"Acyrthosiphon malvae","Aphididae","Geranium robertianum","flowers","oligophagous","-","-"
"Acyrthosiphon malvae","Aphididae","Geranium robertianum","leaves","oligophagous","-","-"
"Acyrthosiphon malvae","Aphididae","Malva neglecta","leaves","oligophagous","-","-"
"Acyrthosiphon malvae","Aphididae","Malva sylvestris","leaves","oligophagous","-","-"
"Acyrthosiphon malvae","Aphididae","Potentilla anglica","-","monophagous","-","-"
"Acyrthosiphon malvae","Aphididae","Potentilla anserina","-","monophagous","-","-"
"Acyrthosiphon malvae","Aphididae","Potentilla crantzii","-","oligophagous","-","-"
"Acyrthosiphon malvae","Aphididae","Potentilla reptans","-","oligophagous","-","-"
"Acyrthosiphon malvae","Aphididae","Potentilla sterilis","-","oligophagous","-","-"
"Acyrthosiphon malvae","Aphididae","Potentilla procumbens","-","monophagous","-","-"
"Acyrthosiphon pisum","Aphididae","Astragalus glycyphyllos","-","oligophagous","-","-"
"Acyrthosiphon pisum","Aphididae","Lotus corniculatus","-","Monophagous","-",""
"Acyrthosiphon pisum","Aphididae","Medicago sativa","stems","oligophagous","-","I"
"Acyrthosiphon pisum","Aphididae","Melilotus albus","-","oligophagous","-","-"
"Acyrthosiphon pisum","Aphididae","Onobrychis viciifolia","-","oligophagous","-","-"
"Acyrthosiphon pisum","Aphididae","Ononis repens","-","monophagous","-","I"
"Acyrthosiphon pisum","Aphididae","Ononis spinosa","-","monophagous","-","I"
"Acyrthosiphon pisum","Aphididae","Trifolium pratense","-","oligophagous","-","-"
"Acyrthosiphon pisum","Aphididae","Vicia cracca","-","oligophagous","-","-"
"Acyrthosiphon pisum","Aphididae","Vicia hirsuta","-","oligophagous","-","I"
"Acyrthosiphon pisum","Aphididae","Vicia lutea","leaves","oligophagous","-","-"
"Acyrthosiphon pisum","Aphididae","Vicia sativa","-","oligophagous","-","-"
"Acyrthosiphon pisum","Aphididae","Vicia sativa","leaves","oligophagous","-","-"
"Acyrthosiphon pisum","Aphididae","Vicia sylvatica","leaves","oligophagous","-","-"
"Acyrthosiphon pisum","Aphididae","Vicia sylvatica","stems","oligophagous","-","-"
"Acyrthosiphon pisum","Aphididae","Vicia tetrasperma","leaves","oligophagous","-","-"
"Acyrthosiphon pisum","Aphididae","Vicia tetrasperma","stems","oligophagous","-","-"
"Acyrthosiphon pisum","Aphididae","Vicia laevigata","leaves","oligophagous","-","-"
"Acyrthosiphon pisum","Aphididae","Ononis campestris","-","monophagous","-","I"
"Acyrthosiphon pisum","Aphididae","Melilotus alba","-","oligophagous","-","-"
"Acyrthosiphon pisum","Aphididae","Ononis repens subsp. spinosa","-","monophagous","-","I"
"Acyrthosiphon pisum","Aphididae","Ononis repens subsp. maritima","-","monophagous","-","I"
"Acyrthosiphon pisum","Aphididae","Vicia angustifolia","-","oligophagous","-","-"
"Acyrthosiphon pisum","Aphididae","Vicia angustifolia","leaves","oligophagous","-","-"
"Acyrthosiphon pisum","Aphididae","Vicia gemella","leaves","oligophagous","-","-"
"Acyrthosiphon pisum","Aphididae","Vicia gemella","stems","oligophagous","-","-"
"Acyrthosiphon scariolae","Aphididae","Lactuca serriola","leaves","monophagous","-","-"
"Acyrthosiphon scariolae","Aphididae","Lactuca serriola","stems","monophagous","-","-"
"Acyrthosiphon scariolae","Aphididae","Lactuca virosa","leaves","monophagous","-","-"
"Acyrthosiphon scariolae","Aphididae","Lactuca virosa","stems","monophagous","-","-"
"Adaina microdactyla","Pterophoridae","Eupatorium cannabinum","stems","monophagous","-","-"
"Adarrus ocellaris","Cicadellidae","Holcus lanatus","-","polyphagous","principal","-"
"Adarrus ocellaris","Cicadellidae","Holcus mollis","-","polyphagous","principal","-"
"Adela cuprella","Incurvariidae","Salix caprea","flowers","monophagous","-","-"
"Adela cuprella","Incurvariidae","Salix cinerea","leaves","monophagous","-","-"
"Adela fibulella","Incurvariidae","Veronica chamaedrys","fruits/seeds","monophagous","-","-"
"Adela fibulella","Incurvariidae","Veronica chamaedrys","leaves","monophagous","-","-"
"Adela fibulella","Incurvariidae","Veronica officinalis","fruits/seeds","monophagous","-","-"
"Adela fibulella","Incurvariidae","Veronica officinalis","leaves","monophagous","-","-"
"Adela rufimitrella","Incurvariidae","Alliaria petiolata","fruits/seeds","oligophagous","-","-"
"Adela rufimitrella","Incurvariidae","Arabis alpina","fruits/seeds","oligophagous","-","-"
"Adela rufimitrella","Incurvariidae","Arabis caucasica","fruits/seeds","oligophagous","-","-"
"Adela rufimitrella","Incurvariidae","Turritis glabra","fruits/seeds","oligophagous","-","-"
"Adela rufimitrella","Incurvariidae","Arabis hirsuta","fruits/seeds","oligophagous","-","-"
"Adela rufimitrella","Incurvariidae","Arabidopsis lyrata subsp. petraea","fruits/seeds","oligophagous","-","-"
"Adela rufimitrella","Incurvariidae","Arabis scabra","fruits/seeds","oligophagous","-","-"
"Adela rufimitrella","Incurvariidae","Barbarea vulgaris","fruits/seeds","oligophagous","-","-"
"Adela rufimitrella","Incurvariidae","Sisymbrium officinale","fruits/seeds","oligophagous","-","-"
"Adela rufimitrella","Incurvariidae","Barbarea arcuata","fruits/seeds","oligophagous","-","-"
"Adela rufimitrella","Incurvariidae","Cardaminopsis petraea","fruits/seeds","oligophagous","-","-"
"Adela rufimitrella","Incurvariidae","Arabis brownii","fruits/seeds","oligophagous","-","-"
"Adela rufimitrella","Incurvariidae","Arabis stricta","fruits/seeds","oligophagous","-","-"
"Adela rufimitrella","Incurvariidae","Arabis glabra","fruits/seeds","oligophagous","-","-"
"Adela rufimitrella","Incurvariidae","Arabis alpina subsp. caucasica","fruits/seeds","oligophagous","-","-"
"Adela rufimitrella","Incurvariidae","Arabis petraea","fruits/seeds","oligophagous","-","-"
"Adela rufimitrella","Incurvariidae","Sisymbrium alliaria","fruits/seeds","oligophagous","-","-"
"Adelphocoris lineolatus","Miridae","Lotus corniculatus","-","Polyphagous","-",""
"Adelphocoris seticornis","Miridae","Lotus corniculatus","-","Oligophagous","-",""
"Adelphocoris ticinensis","Hemiptera","Iris pseudacorus","-","","-",""
"Adoxophyes orana","Tortricidae","Malus sylvestris","fruits/seeds","oligophagous","-","-"
"Adoxophyes orana","Tortricidae","Malus sylvestris","leaves","oligophagous","-","-"
"Adscita globulariae","Zygaenidae","Centaurea nigra","leaves","monophagous","-","-"
"Adscita globulariae","Zygaenidae","Centaurea scabiosa","leaves","monophagous","-","-"
"Adscita globulariae","Zygaenidae","Centaurea debeauxii","leaves","monophagous","-","-"
"Adscita globulariae","Zygaenidae","Centaurea nemoralis","leaves","monophagous","-","-"
"Adscita statices","Zygaenidae","Rumex acetosa","leaves","monophagous","-","-"
"Adscita statices","Zygaenidae","Rumex acetosella","leaves","monophagous","-","-"
"Adscita statices","Zygaenidae","Rumex angiocarpus","leaves","monophagous","-","-"
"Adscita statices","Zygaenidae","Rumex tenuifolius","leaves","monophagous","-","-"
"Adscita statices","Zygaenidae","Rumex hibernicus","leaves","monophagous","-","-"
"Adscita statices","Zygaenidae","Rumex rugosus","leaves","monophagous","-","-"
"Aegeria apiformis","Sesiidae","Populus nigra","woody parts","monophagous","-","I"
"Aethalura punctulata","Geometridae","Betula pendula","-","oligophagous","principal","-"
"Aethalura punctulata","Geometridae","Betula pubescens","leaves","Polyphagous","-",""
"Aethes beatricella","Tortricidae","Conium maculatum","fruits/seeds","oligophagous","principal","I"
"Aethes beatricella","Tortricidae","Daucus carota","-","-","-","-"
"Aethes beatricella","Lepidoptera","Smyrnium olusatrum","stems","","-",""
"Aethes beatricella","Tortricidae","Daucus gummifer","-","-","-","-"
"Aethes cnicana","Tortricidae","Cirsium arvense","fruits/seeds","monophagous","-","-"
"Aethes cnicana","Tortricidae","Cirsium arvense","stems","monophagous","-","-"
"Aethes cnicana","Tortricidae","Cirsium vulgare","fruits/seeds","monophagous","-","-"
"Aethes cnicana","Tortricidae","Cirsium vulgare","stems","monophagous","-","-"
"Aethes cnicana","Cochylidae","Cirsium vulgare","flowers,stems","Oligophagous","-",""
"Aethes deutschiana","Tortricidae","Bartsia alpina","fruits/seeds","","-",""
"Aethes dilucidana","Tortricidae","Heracleum sphondylium","fruits/seeds","oligophagous","-","-"
"Aethes dilucidana","Tortricidae","Heracleum sphondylium","stems","oligophagous","-","-"
"Aethes dilucidana","Tortricidae","Pastinaca sativa","fruits/seeds","oligophagous","-","I"
"Aethes dilucidana","Tortricidae","Pastinaca sativa","stems","oligophagous","-","I"
"Aethes francillana","Tortricidae","Conium maculatum","fruits/seeds","oligophagous","subsidiary","-"
"Aethes francillana","Tortricidae","Conium maculatum","stems","oligophagous","subsidiary","-"
"Aethes francillana","Tortricidae","Daucus carota","flowers","oligophagous","principal","I"
"Aethes francillana","Tortricidae","Daucus carota","fruits/seeds","oligophagous","principal","I"
"Aethes francillana","Tortricidae","Daucus carota","stems","oligophagous","principal","I"
"Aethes francillana","Cochylidae","Peucedanum officinale","flowers","oligophagous","-","-"
"Aethes francillana","Cochylidae","Peucedanum officinale","fruits/seeds","oligophagous","-","-"
"Aethes francillana","Cochylidae","Peucedanum officinale","stems","oligophagous","-","-"
"Aethes francillana","Tortricidae","Daucus gummifer","flowers","oligophagous","principal","I"
"Aethes francillana","Tortricidae","Daucus gummifer","fruits/seeds","oligophagous","principal","I"
"Aethes francillana","Tortricidae","Daucus gummifer","stems","oligophagous","principal","I"
"Aethes margaritana","Tortricidae","Achillea millefolium","flowers","oligophagous","principal","-"
"Aethes margaritana","Tortricidae","Achillea millefolium","fruits/seeds","oligophagous","principal","-"
"Aethes margaritana","Tortricidae","Leucanthemum vulgare","flowers,fruits/seeds","oligophagous","-","-"
"Aethes margaritana","Tortricidae","Matricaria recutita","flowers","oligophagous","subsidiary","-"
"Aethes margaritana","Tortricidae","Matricaria recutita","fruits/seeds","oligophagous","subsidiary","-"
"Aethes margaritana","","Tripleurospermum inodorum","leaves,roots,stems","","-",""
"Aethes margaritana","","Matricaria perforata","leaves,roots,stems","","-",""
"Aethes margaritana","Tortricidae","Chamomilla recutita","flowers","oligophagous","subsidiary","-"
"Aethes margaritana","Tortricidae","Chamomilla recutita","fruits/seeds","oligophagous","subsidiary","-"
"Aethes margaritana","Tortricidae","Chrysanthemum leucanthemum","flowers,fruits/seeds","oligophagous","-","-"
"Aethes margaritana","","Tripleurospermum maritimum subsp. inodorum","leaves,roots,stems","","-",""
"Aethes margarotana","Cochylidae","Eryngium maritimum","roots","monophagous","-","-"
"Aethes margarotana","Cochylidae","Eryngium maritimum","stems","monophagous","-","-"
"Aethes piercei","Tortricidae","Succisa pratensis","roots","oligophagous","-","-"
"Aethes piercei","Tortricidae","Scabiosa pratensis","roots","oligophagous","-","-"
"Aethes piercei","Tortricidae","Scabiosa succisa","roots","oligophagous","-","-"
"Aethes rubigana","Tortricidae","Arctium lappa","fruits/seeds","monophagous","-","-"
"Aethes rubigana","Tortricidae","Arctium minus","fruits/seeds","monophagous","-","-"
"Aethes rubigana","Tortricidae","Arctium nemorosum","fruits/seeds","monophagous","-","-"
"Aethes rubigana","Tortricidae","Arctium pubens","fruits/seeds","monophagous","-","-"
"Aethes rutilana","Tortricidae","Juniperus communis","leaves","monophagous","-","-"
"Aethes smeathmanniana","Tortricidae","Achillea millefolium","flowers","oligophagous","principal","I"
"Aethes smeathmanniana","Tortricidae","Achillea millefolium","fruits/seeds","oligophagous","principal","I"
"Aethes smeathmanniana","Tortricidae","Anthemis arvensis","flowers","oligophagous","-","-"
"Aethes smeathmanniana","Tortricidae","Anthemis arvensis","fruits/seeds","oligophagous","-","-"
"Aethes smeathmanniana","Tortricidae","Centaurea nigra","flowers,fruits/seeds","oligophagous","subsidiary","-"
"Aethes smeathmanniana","Tortricidae","Centaurea debeauxii","flowers,fruits/seeds","oligophagous","subsidiary","-"
"Aethes smeathmanniana","Tortricidae","Centaurea nemoralis","flowers,fruits/seeds","oligophagous","subsidiary","-"
"Aethes tesserana","Tortricidae","Crepis capillaris","roots","oligophagous","-","-"
"Aethes tesserana","Tortricidae","Inula conyzae","roots","oligophagous","-","-"
"Aethes tesserana","Tortricidae","Helminthotheca echioides","roots","oligophagous","-","-"
"Aethes tesserana","Tortricidae","Picris hieracioides","roots","oligophagous","-","-"
"Aethes tesserana","Tortricidae","Pilosella officinarum","roots","oligophagous","-","-"
"Aethes tesserana","Tortricidae","Inula conyza","roots","oligophagous","-","-"
"Aethes tesserana","Tortricidae","Hieracium pilosella","roots","oligophagous","-","-"
"Aethes tesserana","Tortricidae","Crepis virens","roots","oligophagous","-","-"
"Aethes tesserana","Tortricidae","Picris echioides","roots","oligophagous","-","-"
"Aethes williana","Tortricidae","Daucus carota","roots","monophagous","-","-"
"Aethes williana","Tortricidae","Daucus carota","stems","monophagous","-","-"
"Aethes williana","Tortricidae","Daucus gummifer","roots","monophagous","-","-"
"Aethes williana","Tortricidae","Daucus gummifer","stems","monophagous","-","-"
"Agallia brachyptera","Cicadellidae","Rumex acetosa","-","polyphagous","principal","-"
"Agallia brachyptera","Cicadellidae","Trifolium repens","-","polyphagous","principal","-"
"Agallia brachyptera","Cicadellidae","Rumex hibernicus","-","polyphagous","principal","-"
"Agallia brachyptera","Cicadellidae","Rumex rugosus","-","polyphagous","principal","-"
"Agallia brachyptera","Cicadellidae","Amoria repens","-","polyphagous","principal","-"
"Agallia consobrina","Cicadellidae","Urtica dioica","-","oligophagous","principal","-"
"Agapanthia dahli","Cerambycidae","Cirsium eriophorum","stems","","-",""
