Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date,Tax_res
Osmunda regalis,Osmunda,"",regalis,,,"","",tro-26602193,TRUE,1.1,Accepted,Osmundaceae,Osmunda,"",regalis,"","",L.,tro-26602193,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Hymenophyllum tunbrigense,Hymenophyllum,"",tunbrigense,,,"","",tro-26600467,TRUE,1.1,Accepted,Hymenophyllaceae,Hymenophyllum,"",tunbrigense,"","",(L.) Sm.,tro-26600467,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Hymenophyllum wilsonii,Hymenophyllum,"",wilsonii,,,"","",tro-26611003,TRUE,1.1,Synonym,Hymenophyllaceae,Hymenophyllum,"",peltatum,"","",(Poir.) Desv.,tro-26600465,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Trichomanes speciosum,Trichomanes,"",speciosum,,,"","",tro-26611009,TRUE,1.1,Unresolved,Hymenophyllaceae,Trichomanes,"",speciosum,"","",Willd.,tro-26611009,Unresolved,FALSE,FALSE,FALSE,2020-10-10,Species
Pilularia globulifera,Pilularia,"",globulifera,,,"","",tro-26613474,TRUE,1.1,Synonym,Marsileaceae,Calamistrum,"",globuliferum,"","",(L.) Kuntze,tro-100355518,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Azolla filiculoides,Azolla,"",filiculoides,,,"","",tro-26602847,TRUE,1.1,Accepted,Salviniaceae,Azolla,"",filiculoides,"","",Lam.,tro-26602847,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Pteridium aquilinum,Pteridium,"",aquilinum,,,"","",tro-26600295,TRUE,1.1,Accepted,Dennstaedtiaceae,Pteridium,"",aquilinum,"","",(L.) Kuhn,tro-26600295,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Adiantum capillus-veneris,Adiantum,"",capillus-veneris,,,"","",tro-26602671,TRUE,1.1,Accepted,Pteridaceae,Adiantum,"",capillus-veneris,"","",L.,tro-26602671,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Anogramma leptophylla,Anogramma,"",leptophylla,,,"","",tro-26600874,TRUE,1.1,Accepted,Pteridaceae,Anogramma,"",leptophylla,"","",(L.) Link,tro-26600874,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Cryptogramma crispa,Cryptogramma,"",crispa,,,"","",tro-26600103,TRUE,1.1,Accepted,Pteridaceae,Cryptogramma,"",crispa,"","",(L.) R. Br. ex Hook.,tro-26600103,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Cystopteris alpina,Cystopteris,"",alpina,,,"","",tro-50042552,TRUE,1.1,Accepted,Cystopteridaceae,Cystopteris,"",alpina,"","",(Jacq.) Desv.,tro-50042552,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Cystopteris diaphana,Cystopteris,"",diaphana,,,"","",tro-26605425,TRUE,1.1,Synonym,Cystopteridaceae,Cystopteris,"",fragilis,"","",(L.) Bernh.,tro-26600121,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Cystopteris dickieana,Cystopteris,"",dickieana,,,"","",tro-26604225,TRUE,1.1,Synonym,Cystopteridaceae,Cystopteris,"",fragilis,"","",(L.) Bernh.,tro-26600121,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Cystopteris fragilis,Cystopteris,"",fragilis,,,"","",tro-26600121,TRUE,1.1,Accepted,Cystopteridaceae,Cystopteris,"",fragilis,"","",(L.) Bernh.,tro-26600121,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Cystopteris montana,Cystopteris,"",montana,,,"","",tro-26602776,TRUE,1.1,Accepted,Cystopteridaceae,Cystopteris,"",montana,"","",(Lam.) Bernh. ex Desv.,tro-26602776,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Gymnocarpium dryopteris,Gymnocarpium,"",dryopteris,,,"","",tro-26600166,TRUE,1.1,Accepted,Cystopteridaceae,Gymnocarpium,"",dryopteris,"","",(L.) Newman,tro-26600166,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Gymnocarpium robertianum,Gymnocarpium,"",robertianum,,,"","",tro-26602286,TRUE,1.1,Accepted,Cystopteridaceae,Gymnocarpium,"",robertianum,"","",(Hoffm.) Newman,tro-26602286,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Asplenium adiantum-nigrum,Asplenium,"",adiantum-nigrum,,,"","",tro-26602479,TRUE,1.1,Accepted,Aspleniaceae,Asplenium,"",adiantum-nigrum,"","",L.,tro-26602479,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Asplenium ceterach,Asplenium,"",ceterach,,,"","",tro-26610399,TRUE,1.1,Synonym,Aspleniaceae,Ceterach,"",officinarum,"","",Willd.,tro-26608658,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Asplenium fontanum,Asplenium,"",fontanum,,,"","",tro-26600042,TRUE,1.1,Synonym,Aspleniaceae,Asplenium,"",yunnanense,"","",Franch.,tro-26613243,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Asplenium marinum,Asplenium,"",marinum,,,"","",tro-26607594,TRUE,1.1,Synonym,Aspleniaceae,Asplenium,"",sulcatum,"","",Lam.,tro-26616112,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Asplenium obovatum,Asplenium,"",obovatum,,,"","",tro-50044091,TRUE,1.1,Unresolved,Aspleniaceae,Asplenium,"",obovatum,"","",Viv.,tro-50044091,Unresolved,FALSE,FALSE,FALSE,2020-10-10,Species
Asplenium ruta-muraria,Asplenium,"",ruta-muraria,,,"","",tro-26602540,TRUE,1.1,Accepted,Aspleniaceae,Asplenium,"",ruta-muraria,"","",L.,tro-26602540,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Asplenium scolopendrium,Asplenium,"",scolopendrium,,,"","",tro-26603800,TRUE,1.1,Accepted,Aspleniaceae,Asplenium,"",scolopendrium,"","",L.,tro-26603800,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Asplenium septentrionale,Asplenium,"",septentrionale,,,"","",tro-26602545,TRUE,1.1,Accepted,Aspleniaceae,Asplenium,"",septentrionale,"","",(L.) Hoffm.,tro-26602545,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
