Binomial,NCBI taxon id,Order,Family,Data source,Haploid genome size,Repeat %,Heterozygosity %
Dioctria rufipes,468723,Diptera,Asilidae,hic-arima,1587330001,71.76,3.42
Dolichovespula media,881891,Hymenoptera,Vespidae,10x,307371978,43.89,0.38
Dolichovespula media,881891,Hymenoptera,Vespidae,10x,291227070,44.53,0.4
Dolichovespula media,881891,Hymenoptera,Vespidae,pacbio,219434128,25.23,0.68
Dolichovespula media,881891,Hymenoptera,Vespidae,pacbio,215345176,28.92,0.82
Dolichovespula saxonica,85443,Hymenoptera,Vespidae,10x,294490750,41.39,0.24
Dolichovespula saxonica,85443,Hymenoptera,Vespidae,10x,294732444,45.43,0.27
Dolichovespula saxonica,85443,Hymenoptera,Vespidae,pacbio,214096797,23.03,0.47
Dolichovespula saxonica,85443,Hymenoptera,Vespidae,pacbio,211925866,28.32,0.62
Dolycoris baccarum,387771,Hemiptera,Pentatomidae,10x,883748146,30.86,2.88
Dolycoris baccarum,387771,Hemiptera,Pentatomidae,10x,888997569,38.55,3.17
Dolycoris baccarum,387771,Hemiptera,Pentatomidae,pacbio,70120637,75.08,4.48
Drepanepteryx phalaenoides,560898,Neuroptera,Hemerobiidae,10x,944045796,53.06,1.43
Drepanepteryx phalaenoides,560898,Neuroptera,Hemerobiidae,10x,914629230,60.41,1.59
Dromius quadrimaculatus,346772,Coleoptera,Carabidae,10x,891417480,50.12,2.28
Dromius quadrimaculatus,346772,Coleoptera,Carabidae,10x,877994202,56.98,2.68
Dromius quadrimaculatus,346772,Coleoptera,Carabidae,pacbio,792495815,43.17,2.14
Dromius quadrimaculatus,346772,Coleoptera,Carabidae,pacbio,791670824,51.97,2.5
Ecdyonurus torrentis,2014018,Ephemeroptera,Heptageniidae,10x,490235257,30.69,1.25
Ecdyonurus torrentis,2014018,Ephemeroptera,Heptageniidae,10x,501476142,37.31,1.34
Ecdyonurus torrentis,2014018,Ephemeroptera,Heptageniidae,pacbio,350561109,22.56,2.42
Ecdyonurus torrentis,2014018,Ephemeroptera,Heptageniidae,pacbio,359553689,30.32,3.1
Echinus esculentus,7648,Echinoida,Echinidae,10x,1216767905,58.02,1.41
Echinus esculentus,7648,Echinoida,Echinidae,10x,1264767302,64.68,1.65
Ectemnius continuus,1126389,Hymenoptera,Crabonidae,10x,297024320,39.53,1.06
Ectemnius continuus,1126389,Hymenoptera,Crabonidae,pacbio,243942565,25.65,0.89
Ectemnius continuus,1126389,Hymenoptera,Crabonidae,pacbio,240521124,26.69,0.94
Ectemnius lituratus,2495015,Hymenoptera,Crabonidae,10x,261983979,34.08,0.06
Ectemnius lituratus,2495015,Hymenoptera,Crabonidae,10x,248841686,32.14,0.07
Ectemnius lituratus,2495015,Hymenoptera,Crabonidae,pacbio,216785167,23.87,0.11
Ectemnius lituratus,2495015,Hymenoptera,Crabonidae,pacbio,210571816,23.35,0.16
Eilema griseola,987420,Lepidoptera,Erebidae,10x,932356604,52.16,1.35
Eilema griseola,987420,Lepidoptera,Erebidae,10x,935933934,58.1,1.58
Eilema griseola,987420,Lepidoptera,Erebidae,pacbio,925185161,50.59,1.22
Eilema griseola,987420,Lepidoptera,Erebidae,pacbio,922720891,56.47,1.42
Eimeria tenella,413949,Eucoccidiorida,Eimeriidae,hic-arima,17382066,25.59,3.69
Eimeria tenella,413949,Eucoccidiorida,Eimeriidae,hic-arima,32002219,52.91,1.9
Eisenia fetida,6396,Haplotaxida,Lumbricidae,10x,1593735087,53.61,2.02
Eisenia fetida,6396,Haplotaxida,Lumbricidae,10x,1604444363,61.08,2.37
Empis tessellata,1446181,Diptera,Empididae,10x,378871252,54.62,0.89
Empis tessellata,1446181,Diptera,Empididae,10x,358769757,54.84,0.94
Enallagma cyathigerum,79468,Odonata,Coenagrionidae,10x,1902688511,32.4,1.32
Enallagma cyathigerum,79468,Odonata,Coenagrionidae,10x,1926273835,38.33,1.46
Endotricha flammealis,1101095,Lepidoptera,Pyralidae,10x,481769727,38.75,1.5
Endotricha flammealis,1101095,Lepidoptera,Pyralidae,10x,484909418,44.8,1.65
Endotricha flammealis,1101095,Lepidoptera,Pyralidae,pacbio,471784393,34.62,1.48
Endotricha flammealis,1101095,Lepidoptera,Pyralidae,pacbio,464914753,40.93,1.61
Ennomos fuscantaria,722662,Lepidoptera,Geometridae,10x,455907198,31.8,0.12
Ennomos fuscantaria,722662,Lepidoptera,Geometridae,10x,458551110,39.04,0.14
Ennomos fuscantaria,722662,Lepidoptera,Geometridae,pacbio,440498052,28.4,0.11
Ennomos fuscantaria,722662,Lepidoptera,Geometridae,pacbio,439438130,35.66,0.12
Ennomos fuscantaria,722662,Lepidoptera,Geometridae,hic-arima,687914720,87.01,0.58
Ennomos fuscantaria,722662,Lepidoptera,Geometridae,hic-arima,712784081,88.04,0.59
Epermenia falciformis,2561279,Lepidoptera,Epermeniidae,10x,564211771,44.63,0.58
Epermenia falciformis,2561279,Lepidoptera,Epermeniidae,10x,568695781,52.78,0.62
Episyrphus balteatus,286459,Diptera,Syrphidae,10x,580697814,50.67,2.19
Episyrphus balteatus,286459,Diptera,Syrphidae,10x,571207505,54.15,2.46
Episyrphus balteatus,286459,Diptera,Syrphidae,pacbio,533992966,39.77,2.06
Episyrphus balteatus,286459,Diptera,Syrphidae,pacbio,533246071,46.55,2.27
Erannis defoliaria,104474,Lepidoptera,Geometridae,10x,547061051,33.99,1.3
Erannis defoliaria,104474,Lepidoptera,Geometridae,10x,553219755,41.84,1.4
Erannis defoliaria,104474,Lepidoptera,Geometridae,pacbio,518410419,28.31,1.29
Erannis defoliaria,104474,Lepidoptera,Geometridae,pacbio,518694078,36.28,1.39
Erebia aethiops,447833,Lepidoptera,Nymphalidae,10x,472150260,36.57,0.98
Erebia aethiops,447833,Lepidoptera,Nymphalidae,10x,476707404,43.96,1.12
Erebia epiphron,242257,Lepidoptera,Nymphalidae,10x,524974799,41.31,1.88
Erebia epiphron,242257,Lepidoptera,Nymphalidae,10x,532695310,48.26,2
Erebia epiphron,242257,Lepidoptera,Nymphalidae,pacbio,505151692,37.7,1.77
Erebia epiphron,242257,Lepidoptera,Nymphalidae,pacbio,505742054,44.36,1.88
Eristalis arbustorum,1124515,Diptera,Syrphidae,10x,495139971,35.55,2.34
Eristalis arbustorum,1124515,Diptera,Syrphidae,10x,485750510,38.09,2.68
Eristalis arbustorum,1124515,Diptera,Syrphidae,pacbio,458214195,29.36,2.19
Eristalis arbustorum,1124515,Diptera,Syrphidae,pacbio,468524095,33.26,2.56
Eristalis pertinax,1572519,Diptera,Syrphidae,10x,515651420,35.29,1.13
Eristalis pertinax,1572519,Diptera,Syrphidae,10x,509359038,39.1,1.23
Eristalis pertinax,1572519,Diptera,Syrphidae,pacbio,450567730,26.84,1.13
Eristalis pertinax,1572519,Diptera,Syrphidae,pacbio,452852738,32.18,1.27
Eristalis pertinax,1572519,Diptera,Syrphidae,hic-arima,525764273,51.87,1.24
Eristalis pertinax,1572519,Diptera,Syrphidae,hic-arima,545318622,63.26,1.33
Eristalis tenax,198635,Diptera,Syrphidae,10x,560353452,35.97,1.35
Eristalis tenax,198635,Diptera,Syrphidae,10x,547386551,39.24,1.48
Eristalis tenax,198635,Diptera,Syrphidae,pacbio,487687411,26.72,1.27
Eristalis tenax,198635,Diptera,Syrphidae,pacbio,487595133,31.88,1.4
Erpobdella octoculata,39305,Arhynchobdellida,Erpobdellidae,10x,427769675,47.23,1.15
Erpobdella octoculata,39305,Arhynchobdellida,Erpobdellidae,10x,423911471,52.44,1.32
Erpobdella octoculata,39305,Arhynchobdellida,Erpobdellidae,hic-arima,351009294,36.44,1.41
Erpobdella octoculata,39305,Arhynchobdellida,Erpobdellidae,hic-arima,354612134,42.92,1.51
Erynnis tages,520884,Lepidoptera,Hesperidae,10x,347438765,21.29,1.72
Erynnis tages,520884,Lepidoptera,Hesperidae,10x,349122469,25.56,1.83
Erynnis tages,520884,Lepidoptera,Hesperidae,pacbio,324722580,15.88,1.63
Erynnis tages,520884,Lepidoptera,Hesperidae,pacbio,327183650,19.76,1.75
Ethmia dodecea,1660634,Lepidoptera,Ethmiidae,10x,533291041,40.82,0.33
Ethmia dodecea,1660634,Lepidoptera,Ethmiidae,10x,540072025,47.83,0.38
Eudonia lacustrata,1100991,Lepidoptera,Crambidae,10x,752747246,41.36,0.48
Eudonia lacustrata,1100991,Lepidoptera,Crambidae,10x,759459746,49.53,0.49
Eupeodes corollae,290404,Diptera,Syrphidae,10x,1128165756,57.65,0.7
Eupeodes corollae,290404,Diptera,Syrphidae,10x,593100730,52.4,4.47
Eupeodes corollae,290404,Diptera,Syrphidae,pacbio,458726250,31.55,3.35
Eupeodes corollae,290404,Diptera,Syrphidae,pacbio,473320022,40.5,3.81
Eupeodes luniger,1124559,Diptera,Syrphidae,pacbio,1114193,74.59,2.93
Eupeodes luniger,1124559,Diptera,Syrphidae,pacbio,1541628,77.47,4.25
Euphydryas aurinia,104503,Lepidoptera,Nymphalidae,pacbio,43779757,78.73,1.75
Euphydryas aurinia,104503,Lepidoptera,Nymphalidae,pacbio,53495785,81.48,2.74
Eupithecia centaureata,934844,Lepidoptera,Geometridae,10x,490302592,40.98,2.91
Eupithecia centaureata,934844,Lepidoptera,Geometridae,10x,490766715,46.37,3.2
Eupithecia centaureata,934844,Lepidoptera,Geometridae,pacbio,466910394,39.29,2.74
Eupithecia centaureata,934844,Lepidoptera,Geometridae,pacbio,469150827,43.75,3.11
Euproctis similis,987935,Lepidoptera,Erebidae,10x,483907839,32.45,1.72
Euproctis similis,987935,Lepidoptera,Erebidae,qiagen,205282917,59.92,2.88
Euproctis similis,987935,Lepidoptera,Erebidae,qiagen,189201664,60.33,3.99
Euproctis similis,987935,Lepidoptera,Erebidae,pacbio,506318217,33.25,1.3
Euproctis similis,987935,Lepidoptera,Erebidae,pacbio,506165316,40.53,1.42
Euthrix potatoria,624169,Lepidoptera,Lasiocampidae,10x,526699795,32.41,0.49
Euthrix potatoria,624169,Lepidoptera,Lasiocampidae,10x,532253596,40.39,0.55
Euzophera pinguis,1366396,Lepidoptera,Pyralidae,10x,534317068,38.09,0.19
Euzophera pinguis,1366396,Lepidoptera,Pyralidae,10x,538249995,44.69,0.22
Fabriciana adippe,405009,Lepidoptera,Nymphalidae,10x,491982259,33.49,1.38
Fabriciana adippe,405009,Lepidoptera,Nymphalidae,10x,489055161,40.59,1.54
Fabriciana adippe,405009,Lepidoptera,Nymphalidae,pacbio,467700997,28.83,1.29
Fabriciana adippe,405009,Lepidoptera,Nymphalidae,pacbio,469516330,37.01,1.44
Fabriciana adippe,405009,Lepidoptera,Nymphalidae,hic-arima,682796719,59.04,0.69
Fabriciana adippe,405009,Lepidoptera,Nymphalidae,hic-arima,692656369,64.72,0.56
Ferdinandea cuprea,226145,Diptera,Syrphidae,10x,587681274,32.76,1.1
Ferdinandea cuprea,226145,Diptera,Syrphidae,10x,592342203,39.71,1.25
Ferdinandea cuprea,226145,Diptera,Syrphidae,pacbio,569485740,32.28,1.13
Forficula auricularia,13068,Dermaptera,Forficulidae,10x,1375518871,49.54,0.82
Forficula auricularia,13068,Dermaptera,Forficulidae,10x,1393062419,60.76,0.85
Gastrophysa viridula,154015,Coleoptera,Chrysomelidae,10x,406666974,32.65,0.64
Gastrophysa viridula,154015,Coleoptera,Chrysomelidae,10x,403174765,37.25,0.7
Gibbula umbilicalis,148342,Trochida,Trochidae,10x,1326156647,43.99,2.54
Gibbula umbilicalis,148342,Trochida,Trochidae,10x,1335427680,49.24,2.86
Gibbula umbilicalis,148342,Trochida,Trochidae,pacbio,1066963354,31.07,2.49
Gibbula umbilicalis,148342,Trochida,Trochidae,pacbio,1075498858,36.62,2.87
Glomeris marginata,62006,Glomerida,Glomeridae,10x,260805153,44.44,0.66
Glomeris marginata,62006,Glomerida,Glomeridae,10x,258242735,47.55,0.77
Glyphipterix simpliciella,1405621,Lepidoptera,Glyphipterigidae,10x,375175138,39.37,1.56
Glyphipterix simpliciella,1405621,Lepidoptera,Glyphipterigidae,10x,379611924,45.46,1.71
Glyphotaelius pellucidus,1271742,Trichoptera,Limnephilidae,pacbio,1024914230,28.28,0.63
Glyphotaelius pellucidus,1271742,Trichoptera,Limnephilidae,pacbio,1025777068,40.02,0.7
Glyphotaelius pellucidus,1271742,Trichoptera,Limnephilidae,hic-arima,1420539216,69.7,0.66
Glyphotaelius pellucidus,1271742,Trichoptera,Limnephilidae,hic-arima,1548253011,75.37,0.44
Gonocerus acuteangulatus,1545138,Hemiptera,Coreidae,10x,1276300623,50.57,0.99
Gonocerus acuteangulatus,1545138,Hemiptera,Coreidae,10x,1297072495,58.31,1.07
Gonocerus acuteangulatus,1545138,Hemiptera,Coreidae,pacbio,1079728503,41.09,0.91
Gonocerus acuteangulatus,1545138,Hemiptera,Coreidae,pacbio,1078945915,50.36,0.99
Gracillaria syringella,753336,Lepidoptera,Gracillariidae,10x,228746484,29.23,1.28
Gracillaria syringella,753336,Lepidoptera,Gracillariidae,10x,230501658,32.02,1.43
Grammoptera ruficornis,351486,Coleoptera,Cerambycidae,hic-arima2,1156437672,50.22,4.19
Grammoptera ruficornis,351486,Coleoptera,Cerambycidae,hic-arima2,1145347921,57.69,4.64
Grammoptera ruficornis,351486,Coleoptera,Cerambycidae,10x,1134063735,49.57,4.3
Grammoptera ruficornis,351486,Coleoptera,Cerambycidae,10x,1129868823,57.45,4.74
Grammoptera ruficornis,351486,Coleoptera,Cerambycidae,pacbio,1101555968,55.14,4.51
Gymnoscelis rufifasciata,934940,Lepidoptera,Geometridae,10x,451525607,34.95,2.47
Gymnoscelis rufifasciata,934940,Lepidoptera,Geometridae,10x,452977946,40.7,2.71
Gymnoscelis rufifasciata,934940,Lepidoptera,Geometridae,pacbio,449061686,29.63,2.29
Gymnoscelis rufifasciata,934940,Lepidoptera,Geometridae,pacbio,449941120,35.9,2.49
Halesus radiatus,1271722,Trichoptera,Limnephilidae,hic-arima,1740592063,70.76,0.25
Halesus radiatus,1271722,Trichoptera,Limnephilidae,hic-arima,910774679,35.99,1.83
Hamearis lucina,328891,Lepidoptera,Riodinidae,10x,641809501,34.76,0.42
Hamearis lucina,328891,Lepidoptera,Riodinidae,10x,648620248,44.46,0.48
Hamearis lucina,328891,Lepidoptera,Riodinidae,pacbio,16976012,74.62,1.63
Hamearis lucina,328891,Lepidoptera,Riodinidae,pacbio,22833495,77.79,2.61
Harmonia axyridis,115357,Coleoptera,Coccinellidae,10x,454058789,40.92,2.82
Harmonia axyridis,115357,Coleoptera,Coccinellidae,10x,451227180,47.43,3.2
Harmonia axyridis,115357,Coleoptera,Coccinellidae,pacbio,440590424,38.85,2.72
Harmonia axyridis,115357,Coleoptera,Coccinellidae,pacbio,436565938,45.33,3.08
Hedya salicella,1869985,Lepidoptera,Tortricidae,hic-arima2,605641063,27.94,1.47
Hedya salicella,1869985,Lepidoptera,Tortricidae,hic-arima2,704176193,33.78,0.86
Hedya salicella,1869985,Lepidoptera,Tortricidae,10x,782406154,31.78,0.39
Hedya salicella,1869985,Lepidoptera,Tortricidae,10x,788900657,41.67,0.41
Hedya salicella,1869985,Lepidoptera,Tortricidae,pacbio,750992249,28.04,0.4
Hedya salicella,1869985,Lepidoptera,Tortricidae,pacbio,750914843,38.07,0.42
Helcystogramma rufescens,1449015,Lepidoptera,Gelechiidae,10x,630956935,53.46,2.27
Helcystogramma rufescens,1449015,Lepidoptera,Gelechiidae,10x,633487155,58.34,2.53
Helophilus pendulus,226174,Diptera,Syrphidae,10x,476109495,35.95,2.27
Helophilus pendulus,226174,Diptera,Syrphidae,10x,465801647,38.13,2.63
Hemithea aestivaria,572857,Lepidoptera,Geometridae,10x,563866315,45.62,1.03
Hemithea aestivaria,572857,Lepidoptera,Geometridae,10x,571226201,51.02,1.22
Herminia tarsipennalis,987440,Lepidoptera,Erebidae,10x,814948825,36.3,2.04
Herminia tarsipennalis,987440,Lepidoptera,Erebidae,10x,820300838,44.48,2.29
Herminia tarsipennalis,987440,Lepidoptera,Erebidae,pacbio,793923845,34.49,1.96
Herminia tarsipennalis,987440,Lepidoptera,Erebidae,pacbio,791256291,42.54,2.2
Hesperia comma,291688,Lepidoptera,Hesperiidae,10x,538718093,37.04,1.93
Hesperia comma,291688,Lepidoptera,Hesperiidae,10x,546497795,41.88,2.13
Hesperia comma,291688,Lepidoptera,Hesperiidae,pacbio,506015824,32.37,1.88
Hesperia comma,291688,Lepidoptera,Hesperiidae,pacbio,500973377,36.63,2.04
Himacerus apterus,347976,Hemiptera,Nabidae,pacbio,271792618,86.02,2.82
Himacerus apterus,347976,Hemiptera,Nabidae,pacbio,332981452,88.18,4.27
Hofmannophila pseudospretella,572861,Lepidoptera,Oecophoridae,10x,428222566,30.33,1.78
Hofmannophila pseudospretella,572861,Lepidoptera,Oecophoridae,10x,431271378,38.05,1.87
Hydropsyche siltalai,599746,Trichoptera,Hydropsychidae,pacbio,266469280,5.37,0.05
Hydropsyche siltalai,599746,Trichoptera,Hydropsychidae,pacbio,266294328,12.26,0.07
Hylaea fasciaria,722673,Lepidoptera,Geometridae,hic-arima2,530095001,83.4,0.75
Hylaea fasciaria,722673,Lepidoptera,Geometridae,hic-arima2,584566939,88.85,0.64
Hylaea fasciaria,722673,Lepidoptera,Geometridae,10x,378244570,33.67,0.79
Hylaea fasciaria,722673,Lepidoptera,Geometridae,10x,388570362,38.26,0.88
Hylaea fasciaria,722673,Lepidoptera,Geometridae,pacbio,330435527,24.14,0.72
Hylaea fasciaria,722673,Lepidoptera,Geometridae,pacbio,330660185,27.53,0.81
Hypena proboscidalis,753189,Lepidoptera,Erebidae,10x,660666216,36.5,0.97
Hypena proboscidalis,753189,Lepidoptera,Erebidae,10x,666008605,42.79,1.12
Hypena proboscidalis,753189,Lepidoptera,Erebidae,pacbio,636498830,32.49,0.92
Hypena proboscidalis,753189,Lepidoptera,Erebidae,pacbio,635831250,38.87,1.07
Idaea aversata,104447,Lepidoptera,Geometridae,10x,461212362,37.09,0.94
Idaea aversata,104447,Lepidoptera,Geometridae,10x,463390433,44,1.02
Idaea aversata,104447,Lepidoptera,Geometridae,pacbio,438537519,32.4,0.9
Idaea aversata,104447,Lepidoptera,Geometridae,pacbio,438940020,39.8,0.97
Korscheltellus lupulina,214181,Lepidoptera,Hepialidae,10x,1573317278,35.06,0.73
Korscheltellus lupulina,214181,Lepidoptera,Hepialidae,10x,1586490275,43.45,0.82
Korscheltellus lupulina,214181,Lepidoptera,Hepialidae,pacbio,1409181212,26.41,0.66
Korscheltellus lupulina,214181,Lepidoptera,Hepialidae,pacbio,1407622480,35.57,0.74
Laothoe populi,522836,Lepidoptera,Sphingidae,pacbio,576424903,37.75,1.5
Laothoe populi,522836,Lepidoptera,Sphingidae,pacbio,575281228,44.49,1.72
Lasioglossum pauxillum,88516,Hymenoptera,Halictidae,pacbio,423225409,30.63,0.46
Lasioglossum pauxillum,88516,Hymenoptera,Halictidae,pacbio,418109601,36.28,0.47
Lasiommata megera,111917,Lepidoptera,Nymphalidae,10x,503762423,30.88,2.78
Lasiommata megera,111917,Lepidoptera,Nymphalidae,10x,501027966,36.36,3.18
Lasiommata megera,111917,Lepidoptera,Nymphalidae,pacbio,475201599,26.03,2.67
Lasiommata megera,111917,Lepidoptera,Nymphalidae,pacbio,476475775,32.08,3.07
Laspeyria flexula,938238,Lepidoptera,Erebidae,10x,476614843,26.79,0.91
Laspeyria flexula,938238,Lepidoptera,Erebidae,10x,480936704,32.81,0.99
Laspeyria flexula,938238,Lepidoptera,Erebidae,pacbio,445367717,19.97,0.87
Laspeyria flexula,938238,Lepidoptera,Erebidae,pacbio,445042069,26.15,0.93
Leptidea sinapis,189913,Lepidoptera,Pieridae,10x,721103328,38.37,1.18
Leptidea sinapis,189913,Lepidoptera,Pieridae,10x,720116437,47.3,1.28
Leptidea sinapis,189913,Lepidoptera,Pieridae,pacbio,687340552,34.15,1.08
Leptidea sinapis,189913,Lepidoptera,Pieridae,pacbio,687830011,44.26,1.18
Limenitis camilla,270466,Lepidoptera,Nymphalidae,10x,438096259,27.33,0.9
Limenitis camilla,270466,Lepidoptera,Nymphalidae,10x,441690337,34.97,1.01
Limenitis camilla,270466,Lepidoptera,Nymphalidae,pacbio,419956752,22.98,0.86
Limenitis camilla,270466,Lepidoptera,Nymphalidae,pacbio,420444187,30.79,0.97
Limnephilus affinis,1271727,Trichoptera,Limnephilidae,hic-arima,1478551441,61.65,1
Limnephilus marmoratus,1271730,Trichoptera,Limnephilidae,hic-arima,2716043232,68.91,0.63
Limnophora riparia,559655,Diptera,Muscidae,hic-arima,2202996199,78.66,1.99
Limnophora riparia,559655,Diptera,Muscidae,hic-arima,2275087853,82.24,2.82
Linyphia triangularis,94031,Chelicerata,Linyphiidae,pacbio,58201822,86.38,3.17
Lipophrys pholis,56720,Blenniiformes,Blenniidae,pacbio,705971080,16.59,0.56
Lipophrys pholis,56720,Blenniiformes,Blenniidae,pacbio,708796174,21.38,0.67
Lucilia sericata,13632,Diptera,Calliphoridae,10x,534205970,52.3,2.37
Lucilia sericata,13632,Diptera,Calliphoridae,10x,505716343,54.93,2.8
Lumbricus castaneus,81491,Haplotaxida,Lumbricidae,pacbio,17512339,79.25,2.77
Lumbricus castaneus,81491,Haplotaxida,Lumbricidae,pacbio,18925526,81.17,3.87
Lumbricus rubellus,35632,Haplotaxida,Lumbricidae,10x,993810458,48.11,3.33
Lumbricus rubellus,35632,Haplotaxida,Lumbricidae,10x,1010466368,54.21,4.02
Lumbricus terrestris,6398,Haplotaxida,Lumbricidae,10x,1511256622,62.36,3.54
Lumbricus terrestris,6398,Haplotaxida,Lumbricidae,pacbio,4602841,71.28,3.18
Lumbricus terrestris,6398,Haplotaxida,Lumbricidae,pacbio,6274298,75.46,4.4
Lycaena phlaeas,282391,Lepidoptera,Lycaenidae,hic-arima2,685697652,55.22,0.61
Lycaena phlaeas,282391,Lepidoptera,Lycaenidae,hic-arima2,383840999,37.38,3.88
Lycaena phlaeas,282391,Lepidoptera,Lycaenidae,10x,417904270,26.41,2.03
Lycaena phlaeas,282391,Lepidoptera,Lycaenidae,10x,419061841,31.88,2.21
Lycaena phlaeas,282391,Lepidoptera,Lycaenidae,pacbio,416266421,22.88,1.81
Lycaena phlaeas,282391,Lepidoptera,Lycaenidae,pacbio,416876229,28.82,1.94
Lygus pratensis,1436830,Hemiptera,Miridae,10x,1007115857,53.86,2.25
Lygus pratensis,1436830,Hemiptera,Miridae,10x,978513944,57.25,2.54
Lygus pratensis,1436830,Hemiptera,Miridae,pacbio,807974681,46.78,2.38
Lygus pratensis,1436830,Hemiptera,Miridae,pacbio,761787076,49.76,2.79
Lymantria monacha,78897,Lepidoptera,Erebidae,10x,934249548,40.65,0.86
Lymantria monacha,78897,Lepidoptera,Erebidae,10x,937710627,49.1,0.92
Lymantria monacha,78897,Lepidoptera,Erebidae,pacbio,916588912,38.22,0.73
Lymantria monacha,78897,Lepidoptera,Erebidae,pacbio,911159224,46.9,0.78
Lymnaea stagnalis,6523,Hygrophila,Lymnaeidae,hic-arima,972699438,36.1,0.77
Lymnaea stagnalis,6523,Hygrophila,Lymnaeidae,hic-arima,997153998,44.05,0.89
Lysandra bellargus,138070,Lepidoptera,Lycanidae,10x,545271348,45.38,1.47
Lysandra bellargus,138070,Lepidoptera,Lycanidae,10x,546703586,52.12,1.58
Lysandra bellargus,138070,Lepidoptera,Lycanidae,pacbio,514705833,40.57,1.37
Lysandra bellargus,138070,Lepidoptera,Lycanidae,pacbio,514047332,48.38,1.47
Lysandra coridon,268709,Lepidoptera,Lycanidae,10x,580811161,48.18,1.4
Lysandra coridon,268709,Lepidoptera,Lycanidae,10x,581295486,54.63,1.46
Lysandra coridon,268709,Lepidoptera,Lycanidae,pacbio,531996919,42.32,1.34
Lysandra coridon,268709,Lepidoptera,Lycanidae,pacbio,532364342,49.77,1.4
Malachius bipustulatus,295700,Coleoptera,Melyridae,hic-arima2,854593621,64.08,0.44
Malachius bipustulatus,295700,Coleoptera,Melyridae,hic-arima2,847499816,72.05,0.53
Malachius bipustulatus,295700,Coleoptera,Melyridae,pacbio,553188342,39.46,1.38
Malachius bipustulatus,295700,Coleoptera,Melyridae,pacbio,554969962,45.57,1.56
Malacosteus niger,76143,Stomiiformes,Stomiidae,hic-arima,974044740,73.2,1.95
Mamestra brassicae,55057,Lepidoptera,Noctuidae,hic-arima2,618823327,32.75,0.1
Mamestra brassicae,55057,Lepidoptera,Noctuidae,hic-arima2,615767644,38.63,0.17
Mamestra brassicae,55057,Lepidoptera,Noctuidae,10x,610359574,33.92,0.01
Mamestra brassicae,55057,Lepidoptera,Noctuidae,pacbio,573500108,21.37,0.02
Mamestra brassicae,55057,Lepidoptera,Noctuidae,pacbio,572646619,28.66,0.03
Maniola jurtina,191418,Lepidoptera,Nymphalidae,10x,409359321,32.61,2.4
Maniola jurtina,191418,Lepidoptera,Nymphalidae,10x,409756413,38.93,2.65
Maniola jurtina,191418,Lepidoptera,Nymphalidae,pacbio,386774660,26.89,2.34
Maniola jurtina,191418,Lepidoptera,Nymphalidae,pacbio,386905686,33.61,2.57
Megachile ligniseca,1542540,Hymenoptera,Megachilidae,10x,829360203,72.77,0.63
Megachile ligniseca,1542540,Hymenoptera,Megachilidae,10x,667569119,67.78,0.63
Megachile ligniseca,1542540,Hymenoptera,Megachilidae,pacbio,252114991,16.01,0.46
Megachile ligniseca,1542540,Hymenoptera,Megachilidae,pacbio,248693018,17.28,0.48
Megachile willughbiella,481575,Hymenoptera,Megachilidae,10x,1283865289,77.86,1.1
Megachile willughbiella,481575,Hymenoptera,Megachilidae,10x,1071031561,75.42,1.11
Melanargia galathea,111923,Lepidoptera,Nymphalidae,10x,631452444,51.68,1.47
Melanargia galathea,111923,Lepidoptera,Nymphalidae,10x,636719338,57,1.62
Melanargia galathea,111923,Lepidoptera,Nymphalidae,pacbio,51012321,87.62,2.48
Melanargia galathea,111923,Lepidoptera,Nymphalidae,pacbio,59684497,89.39,3.8
Melanostoma mellinum,653684,Diptera,Syrphidae,10x,797094095,51.22,2.71
Melanostoma mellinum,653684,Diptera,Syrphidae,10x,788268306,56.35,3.26
Melanostoma mellinum,653684,Diptera,Syrphidae,pacbio,723699209,45.03,2.57
Melanostoma mellinum,653684,Diptera,Syrphidae,pacbio,723195070,51.57,3.08
Melanostoma scalare,92598,Diptera,Syrphidae,10x,776548079,48.5,1.58
Melanostoma scalare,92598,Diptera,Syrphidae,10x,776998549,54.23,1.84
Melanostoma scalare,92598,Diptera,Syrphidae,pacbio,718985497,43.91,1.46
Melanostoma scalare,92598,Diptera,Syrphidae,pacbio,718267381,50.58,1.7
Meles meles,9662,Carnivora,Mustelidae,10x,2806885907,25.37,0.13
Meles meles,9662,Carnivora,Mustelidae,10x,2810887502,31.66,0.13
Meles meles,9662,Carnivora,Mustelidae,pacbio,2610137992,18.67,0.16
Meles meles,9662,Carnivora,Mustelidae,illumina,2613315935,17.52,0.1
Meles meles,9662,Carnivora,Mustelidae,illumina,2613911236,24.31,0.1
Meles meles,9662,Carnivora,Mustelidae,illumina,2576504919,17.64,0.18
Meles meles,9662,Carnivora,Mustelidae,illumina,2580686006,24.53,0.22
Melitaea athalia,113330,Lepidoptera,Nymphalidae,10x,625194604,45.23,2.93
Melitaea athalia,113330,Lepidoptera,Nymphalidae,10x,625248200,51.4,3.2
Melitaea athalia,113330,Lepidoptera,Nymphalidae,pacbio,594886375,42.06,2.84
Melitaea athalia,113330,Lepidoptera,Nymphalidae,pacbio,594769911,48.62,3.11
Melitaea cinxia,113334,Lepidoptera,Nymphalidae,10x,524807427,33.53,2.1
Melitaea cinxia,113334,Lepidoptera,Nymphalidae,10x,525661831,40.04,2.33
